"PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","",""
"531
Intro to Quantum Mechanics","001","","17","3.353","41.2","17.6","17.6","17.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"551
Solid State Physics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"625
Applied Optics","001","","23","3.523","39.1","34.8","17.4","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"682
Senior Honors Thesis","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691
Senior Thesis","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"715
Statistical Mechanics","001","","31","3.383","25.8","22.6","48.4",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"721
Theor Physics-Electrodynmcs","001","","27","3.288","7.4","40.7","48.1",".",".",".",".","3.7",".",".",".",".",".",".",".","."
"722
Adv Classical Theor Physics","001","","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"724
Waves&Instabilities-Plasmas","001","","7","3.500","14.3","57.1","14.3",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"732
Quantum Mechanics","001","","32","3.453","34.4","28.1","34.4",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"735
Particle Physics","001","","8","3.857","62.5","25.0",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"772
Physics of Space","001","","14","3.214","28.6","14.3","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"799
Independent Study","098","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"801
Topics-Theoretical Physics","001","","13","3.917","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"951
Smr-Solid State Physics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","053","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","054","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","058","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","075","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 271 of 385",""
