"FAM & CONSUMER COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"464
FAM COM","","","","","","","","","","","","","","","","","","","",""
"100","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"100","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"100","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"100","004","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"100","006","","8","3.125",".","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","","23","3.543","43.5","26.1","26.1","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"130
Family & Consumer Newswrtg","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"340
Contemp Comm Tech&Soc Effct","001","","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"501
Special Topics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"601
Internship","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"617
Hlth Communication-Info Age","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
