"MEDICAL GENETICS","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"616
MD GENET","","","","","","","","","","","","","","","","","","","","","","","","",""
"","677
002","10","3.850","70.0","30.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"","677
006","53","4.000","98.1",".",".",".",".",".","",".","","1.9",".","",".",".","",".","",".","",".",".","."
"","007
677","52","3.497","44.2","26.9","21.2","1.9","5.8",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"","677
008","20","4.000","100.0",".",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"","677
010","23","3.712","69.6","8.7","17.4","4.3",".",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"","677
013","13","3.845","84.6","7.7","7.7",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"Advanced Topics in Genetics","Course Total","171","3.784","75.4","11.7","9.4","1.2","1.8","",".","",".","0.6","",".",".","",".","",".","",".",".",".","."
"","699
071","3","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
088","15","3.917","80.0","13.3","6.7",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"Independent Reading","Course Total","18","3.930","83.3","11.1","5.6",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Genetics of Development","707
001","20","3.550","35.0","45.0","15.0","5.0",".",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"Practicum-Genetic Counselng","714
005","5","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Medical Genetics","001
721","142","3.472","16.9","64.1","15.5","3.5",".",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"Contemp Pro Iss-Gen Cnslng","737
001","10","3.650","30.0","70.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"Genetics Counseling","770
001","10","3.600","30.0","60.0","10.0",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"Adv Pract-Genetic Counselng","814
005","5","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
048","3","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
066","2","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research","Course Total","5","***","","","","","","","","","","","","","","","","","","","","","",""
"Seminar in Genetics","993
001","10","3.950","90.0","10.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"Independent Work","999
005","5","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"MD GENET
616","Dept. Total","401","3.681","50.6","34.4","10.7","2.0","0.7","",".","",".","1.5","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"616
MD GENET","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","33","3.799","75.8","9.1","15.2",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","36","3.847","77.8","19.4",".",".","2.8","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","104","3.774","75.0","9.6","10.6","1.9","1.9","",".","",".","1.0","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","173","3.794","75.7","11.6","9.2","1.2","1.7","",".","",".","0.6","",".",".","",".","",".","",".",".",".","."
"Special","","8","3.700","75.0","12.5","12.5",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","80","3.720","52.5","35.0","5.0","1.3",".","",".","",".","6.3","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","140","3.471","17.1","63.6","15.7","3.6",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","140","3.471","17.1","63.6","15.7","3.6",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","401","3.681","50.6","34.4","10.7","2.0","0.7","",".","",".","1.5","",".",".","",".","",".","",".",".",".","."
