"WOMENS STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
WOMEN ST","","","","","","","","","","","","","","","","","","","",""
"Woman-Western Culture","101","001","104","3.294","23.1","39.4","25.0","2.9","4.8","1.0","1.9","1.9",".",".",".",".",".",".",".","."
"Women-Soc Inst & Soc Change","102","001","92","3.555","37.0","40.2","17.4","4.3",".",".",".","1.1",".",".",".",".",".",".",".","."
"","103","001","300","3.492","35.3","36.3","19.7","5.3","1.7","0.3",".","1.3",".",".",".",".",".",".",".","."
"","103","002","40","3.483","35.0","17.5","12.5","5.0","5.0",".",".","22.5",".",".",".",".","2.5",".",".","."
"Womens Bodies-Hlth&Disease","","Course Total","340","3.491","35.3","34.1","18.8","5.3","2.1","0.3",".","3.8",".",".",".",".","0.3",".",".","."
"Lt Trn:Fr Wom Writers Today","251","001","14","3.577","35.7","35.7","21.4",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Gender and Music","317","001","15","3.038","20.0","20.0","20.0","13.3","6.7","6.7",".","13.3",".",".",".",".",".",".",".","."
"","320","001","36","3.257","30.6","22.2","22.2","11.1","11.1",".",".","2.8",".",".",".",".",".",".",".","."
"","320","002","18","3.294","38.9","11.1","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".","5.6","."
"","320","003","39","3.090","12.8","35.9","41.0","2.6",".","2.6","5.1",".",".",".",".",".",".",".",".","."
"Topics - Women & Society","","Course Total","93","3.192","24.7","25.8","30.1","7.5","6.5","1.1","2.2","1.1",".",".",".",".",".",".","1.1","."
"Gender/Class/Race/Ethn(Hum)","330","001","35","3.814","62.9","37.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women & Gender in US to 1870","353","001","24","3.381","29.2","25.0","29.2",".","8.3",".",".","8.3",".",".",".",".",".",".",".","."
"Spec Topics-Women&The Arts","412","001","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Fem Theatre&Critcsm","415","001","7","3.500","28.6","57.1",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Women in Medieval Society","416","001","28","3.554","50.0","25.0","21.4",".",".","3.6",".",".",".",".",".",".",".",".",".","."
"Chicana Feminisms","425","001","19","3.474","52.6","31.6","5.3",".","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"Contemp Feminist Theories","441","001","28","3.685","57.1","25.0","10.7",".","3.6",".",".",".",".",".",".",".",".","3.6",".","."
"Goddesses & Feminine Powers","464","001","21","3.375","19.0","52.4","9.5","9.5","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"Women & Health-Amer History","531","001","26","3.521","42.3","15.4","30.8","3.8",".",".",".","3.8",".",".",".",".","3.8",".",".","."
"Spec Topics-Women & Health","533","001","41","3.744","73.2","7.3","7.3","2.4","4.9",".",".","2.4",".",".",".",".","2.4",".",".","."
"Gender and Education","560","001","33","3.365","12.1","60.6","18.2","6.1","3.0",".",".",".",".",".",".",".",".",".",".","."
"Women-Sport: Hist Perspctv","561","001","13","3.577","38.5","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640","001","17","3.765","94.1",".",".",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","640","002","16","3.625","56.3","37.5",".",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"Advanced Smr in Women's St","","Course Total","33","3.697","75.8","18.2",".",".",".","3.0","3.0",".",".",".",".",".",".",".",".","."
"Internship-Women's Studies","660","001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Perspctv-Black Women Writng","677","001","7","3.429","14.3","57.1","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis I","691","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis II","692","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","102","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","121","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","7","3.889","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"Hlth-Women Across Lifespan","735","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch Methods in Women's St","900","001","12","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
