"","799
116","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Rdg & Rsch-Urban Land Econ","Course Total","2","***","","","","","","","","","","","","","","","","","","",""
"Smr-Urban Land Econ PhD","978
001","3","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"PhD Thesis-Real Estate","990
097","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"REAL EST
239","Dept. Total","593","3.385","33.6","23.3","28.8","6.7","2.5","0.8","0.2","3.4","",".",".","",".","",".","0.5","0.2",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","3.000",".",".","50.0",".",".",".",".",".","",".",".","",".","",".","50.0",".",".","."
"Junior","","85","3.327","25.9","29.4","32.9","4.7","5.9",".",".","1.2","",".",".","",".","",".",".",".",".","."
"Senior","","348","3.275","25.6","24.1","33.3","10.1","2.6","1.1","0.3","2.9","",".",".","",".","",".",".",".",".","."
"Undergraduates","","435","3.285","25.5","25.1","33.3","9.0","3.2","0.9","0.2","2.5","",".",".","",".","",".","0.2",".",".","."
"Special","","7","2.917","28.6","14.3","14.3",".","14.3","14.3",".","14.3","",".",".","",".","",".",".",".",".","."
"Graduate","","141","3.708","56.7","19.1","16.3","0.7",".",".",".","5.7","",".",".","",".","",".","0.7","0.7",".","."
"Prof Yr 3","","10","3.722","60.0","10.0","20.0",".",".",".",".",".","",".",".","",".","",".","10.0",".",".","."
"Professionals","","10","3.722","60.0","10.0","20.0",".",".",".",".",".","",".",".","",".","",".","10.0",".",".","."
"","Dept. Total","593","3.385","33.6","23.3","28.8","6.7","2.5","0.8","0.2","3.4","",".",".","",".","",".","0.5","0.2",".","."
