"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","101
001","22","2.625","22.7","13.6","9.1","9.1","22.7","4.5","9.1","9.1",".",".",".",".",".",".",".","."
"","101
002","22","2.976","31.8","9.1","18.2","13.6","13.6","9.1",".","4.5",".",".",".",".",".",".",".","."
"","003
101","23","2.932","30.4","4.3","34.8",".","17.4","4.3","4.3",".",".",".",".",".",".",".","4.3","."
"","101
004","22","3.341","31.8","31.8","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","101
005","24","3.196","37.5","8.3","33.3","4.2","8.3",".","4.2","4.2",".",".",".",".",".",".",".","."
"","101
006","22","3.143","31.8","13.6","18.2","13.6","18.2",".",".",".",".",".",".",".",".",".",".","4.5"
"","101
007","18","2.611","16.7","11.1","22.2","11.1","27.8","5.6","5.6",".",".",".",".",".",".",".",".","."
"","008
101","19","3.342","47.4","5.3","31.6","10.5",".","5.3",".",".",".",".",".",".",".",".",".","."
"","101
009","22","3.523","54.5","9.1","22.7","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"","101
010","20","2.550","15.0","10.0","35.0","10.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".","."
"","101
011","24","3.375","41.7","12.5","29.2","12.5","4.2",".",".",".",".",".",".",".",".",".",".","."
"","101
012","20","3.225","25.0","20.0","35.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"First Year Spanish","Course Total","258","3.083","32.6","12.4","25.6","10.1","11.2","3.1","2.7","1.6",".",".",".",".",".",".","0.4","0.4"
"","001
102","24","3.304","33.3","25.0","29.2",".","4.2",".","4.2","4.2",".",".",".",".",".",".",".","."
"","102
002","20","3.575","75.0","5.0","10.0",".","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","102
003","21","2.786","28.6","19.0","14.3","14.3","9.5",".","14.3",".",".",".",".",".",".",".",".","."
"","102
004","21","3.405","52.4","9.5","14.3","14.3","9.5",".",".",".",".",".",".",".",".",".",".","."
"","102
005","23","3.196","43.5","8.7","34.8","4.3",".",".","8.7",".",".",".",".",".",".",".",".","."
"","006
102","22","3.023","18.2","31.8","18.2","9.1","18.2","4.5",".",".",".",".",".",".",".",".",".","."
"","102
008","23","2.848","8.7","17.4","34.8","13.0","26.1",".",".",".",".",".",".",".",".",".",".","."
"","102
009","24","3.304","50.0","16.7","16.7",".","4.2",".","8.3","4.2",".",".",".",".",".",".",".","."
"","010
102","24","3.545","58.3","8.3","8.3","8.3","8.3",".",".","8.3",".",".",".",".",".",".",".","."
"","011
102","19","3.194","26.3",".","52.6","15.8",".",".",".",".",".",".",".",".",".",".",".","5.3"
"","102
012","21","3.595","52.4","23.8","14.3","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","013
102","23","3.500","52.2","4.3","30.4","4.3","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"","102
014","23","2.913","17.4","21.7","39.1","4.3","4.3","8.7","4.3",".",".",".",".",".",".",".",".","."
"","102
015","16","3.531","50.0","12.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
016","17","3.206","29.4",".","58.8","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","017
102","19","3.194","31.6","21.1","21.1","5.3","10.5","5.3",".",".",".",".",".",".",".","5.3",".","."
"First Year Spanish","Course Total","340","3.251","39.1","14.4","26.2","7.1","7.1","1.2","2.9","1.5",".",".",".",".",".","0.3",".","0.3"
"","203
001","20","2.900","25.0","5.0","35.0","15.0","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"","203
002","17","3.029","23.5","11.8","47.1","5.9","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"","203
003","21","3.190","9.5","42.9","28.6","14.3","4.8",".",".",".",".",".",".",".",".",".",".","."
"","203
004","18","3.083","11.1","38.9","27.8","11.1","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","203
005","23","3.370","30.4","34.8","21.7","4.3","8.7",".",".",".",".",".",".",".",".",".",".","."
"","203
006","25","3.160","20.0","28.0","28.0","12.0","12.0",".",".",".",".",".",".",".",".",".",".","."
"","203
007","19","3.583","52.6","10.5","26.3","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"","203
008","22","2.786","22.7","13.6","27.3",".","18.2","9.1","4.5","4.5",".",".",".",".",".",".",".","."
"","203
010","22","2.818","13.6","22.7","18.2","22.7","18.2",".","4.5",".",".",".",".",".",".",".",".","."
"","203
011","22","3.238","36.4","18.2","18.2","9.1","9.1","4.5",".","4.5",".",".",".",".",".",".",".","."
"","012
203","24","2.771",".","12.5","54.2","16.7","12.5","4.2",".",".",".",".",".",".",".",".",".","."
"","203
013","20","2.450",".","10.0","25.0","20.0","40.0","5.0",".",".",".",".",".",".",".",".",".","."
"","203
014","25","2.900","8.0","24.0","40.0","4.0","20.0","4.0",".",".",".",".",".",".",".",".",".","."
"","016
203","22","2.977","27.3","22.7","18.2","9.1","13.6","4.5","4.5",".",".",".",".",".",".",".",".","."
"","203
017","22","2.977","13.6","27.3","27.3","4.5","27.3",".",".",".",".",".",".",".",".",".",".","."
"","203
018","22","3.205","13.6","36.4","36.4","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 299 of 385",""
