"INTEGRATED LIBERAL STUDIES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","",""
"","198
005","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","198
010","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","198
014","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","198
039","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","198
040","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","198
053","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","198
054","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","69","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","199
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
055","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","4","***","","","","","","","","","","","","","","","",""
"Critical Thinkng & Expressn","200
001","115","3.291","14.8","38.3","38.3","7.8","0.9",".",".",".",".",".",".",".",".",".",".","."
"W Culture:Sci,Tech,Philos I","201
001","72","3.438","33.3","34.7","25.0","5.6",".",".","1.4",".",".",".",".",".",".",".",".","."
"W Culture:Sci,Tech,Phil II","001
202","109","3.078","18.3","19.3","37.6","16.5","6.4",".","1.8",".",".",".",".",".",".",".",".","."
"West Culture:Lit&The Arts I","203
001","16","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"West Cult: Lit&The Arts II","204
001","227","3.267","21.1","33.9","27.3","11.5","3.5",".","0.9","1.8",".",".",".",".",".",".",".","."
"W Cul:Pol,Econ&Soc Thght II","206
001","318","3.131","11.0","26.7","44.7","12.6","4.1",".","0.3","0.6",".",".",".",".",".",".",".","."
"Hist of Western Culture II","208
001","50","3.030","10.0","24.0","40.0","18.0","6.0","2.0",".",".",".",".",".",".",".",".",".","."
"Genres-Westrn Relig Writing","234
001","40","3.218","15.0","35.0","27.5","17.5","2.5",".",".","2.5",".",".",".",".",".",".",".","."
"Contemporary Phy Sciences","251
001","8","3.438","25.0","50.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Life Sciences","252
001","17","3.794","70.6","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literature and Science","254
001","23","3.543","34.8","43.5","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Contmp Soc Sci:Anal-Soc Iss","255
001","30","3.621","36.7","46.7","13.3",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"PreCoperncn Astrn-Crosscltr","271
001","12","3.458","58.3","25.0","8.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Special Topics in ILS","275
001","13","3.542","30.8","38.5","23.1",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Capstone Integration Seminar","400
001","19","3.842","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Culture Capstone Smr","401
001","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"ILS
500","Dept. Total","1157","3.269","20.7","28.3","30.6","9.9","2.9","0.1","0.6","0.8",".","6.0",".",".",".",".","0.2","."
