"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","420","2.776","15.7","12.6","29.0","12.9","22.4","5.2","1.7","0.2",".",".",".",".",".",".","0.2","."
"","101
002","391","2.497","10.7","6.4","28.6","11.0","28.4","11.0","2.6",".",".",".",".",".","0.3","0.5",".","0.5"
"Animal Biology","Course Total","811","2.642","13.3","9.6","28.9","12.0","25.3","8.0","2.1","0.1",".",".",".",".","0.1","0.2","0.1","0.2"
"","001
102","27","3.370","25.9","37.0","25.9","7.4","3.7",".",".",".",".",".",".",".",".",".",".","."
"","102
002","26","3.192","30.8","7.7","42.3","7.7","11.5",".",".",".",".",".",".",".",".",".",".","."
"","102
003","26","3.481","34.6","26.9","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","25","3.460","40.0","20.0","36.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"","102
005","23","3.565","43.5","26.1","30.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","27","3.519","48.1","14.8","29.6","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"","102
007","27","3.833","74.1","18.5","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
008","26","3.538","30.8","46.2","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
009","24","3.813","70.8","20.8","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
010","28","3.679","60.7","17.9","17.9","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","102
011","25","3.260","44.0","16.0","28.0","4.0",".",".","8.0",".",".",".",".",".",".",".",".","."
"","102
012","28","3.696","60.7","21.4","14.3","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","013
102","24","3.521","50.0","25.0","16.7","4.2",".","4.2",".",".",".",".",".",".",".",".",".","."
"","102
014","28","3.393","35.7","21.4","35.7",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","102
015","25","3.620","56.0","16.0","24.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","016
102","28","3.161","14.3","28.6","42.9","3.6","10.7",".",".",".",".",".",".",".",".",".",".","."
"","017
102","28","3.554","42.9","39.3","7.1","7.1","3.6",".",".",".",".",".",".",".",".",".",".","."
"","102
018","25","3.600","48.0","28.0","20.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","019
102","26","3.346","42.3","19.2","26.9","3.8","3.8",".","3.8",".",".",".",".",".",".",".",".","."
"","102
020","25","3.720","60.0","24.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","521","3.514","45.5","23.8","24.6","3.1","2.3","0.2","0.6",".",".",".",".",".",".",".",".","."
"Genetics and Human Affairs","133
001","31","2.774","25.8",".","41.9","6.5","12.9","6.5","6.5",".",".",".",".",".",".",".",".","."
"Introductory Biology","151
001","141","2.839","14.9","5.7","45.4","7.8","22.0","2.8","0.7",".",".",".",".",".","0.7",".",".","."
"","152
001","158","2.780","11.4","12.7","41.1","5.7","21.5","5.7","1.3",".",".",".",".",".",".",".","0.6","."
"","002
152","152","3.116","28.3","8.6","42.1","5.3","12.5","2.0","0.7",".",".",".",".",".","0.7",".",".","."
"","003
152","136","3.221","30.1","14.0","41.9","5.1","5.9","2.2","0.7",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","446","3.029","22.9","11.7","41.7","5.4","13.7","3.4","0.9",".",".",".",".",".","0.2",".","0.2","."
"Introductory Ecology","260
001","76","2.527","14.5","1.3","25.0","13.2","34.2","10.5",".",".",".",".",".",".",".","1.3",".","."
"Introduction to Entomology","302
001","19","3.026","15.8","5.3","52.6","21.1","5.3",".",".",".",".",".",".",".",".",".",".","."
"Hum/An Relatn:Bio&Phils Iss","335
001","142","2.845","17.6","5.6","40.8","4.9","25.4","2.8","0.7","0.7",".",".",".",".",".",".","1.4","."
"Parasitology","350
001","100","2.845","21.0","10.0","27.0","11.0","27.0","3.0","1.0",".",".",".",".",".",".",".",".","."
"Parasitology Laboratory","351
001","20","3.050","20.0","15.0","40.0","5.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","400
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
003","72","3.507","52.8","9.7","27.8","5.6","4.2",".",".",".",".",".",".",".",".",".",".","."
"Topics in Biology","Course Total","76","3.478","50.0","10.5","30.3","5.3","3.9",".",".",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","001
410","163","2.673","20.2","9.2","22.1","10.4","25.2","9.8","2.5","0.6",".",".",".",".",".",".",".","."
"General Ecology","460
001","43","2.881","16.3","16.3","27.9","11.6","20.9","4.7",".","2.3",".",".",".",".",".",".",".","."
"General Genetics","466
001","88","2.733","8.0","12.5","28.4","29.5","17.0","4.5",".",".",".",".",".",".",".",".",".","."
"Intro to Animal Development","470
001","130","3.124","23.8","15.4","41.5","6.2","10.0","0.8","1.5","0.8",".",".",".",".",".",".",".","."
"Ecology of Fishes","510
001","74","3.041","29.7","6.8","32.4","6.8","23.0","1.4",".",".",".",".",".",".",".",".",".","."
"","511
001","24","3.542","37.5","41.7","16.7",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 312 of 385",""
