"","999
067","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","999
086","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","999
092","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"Indep Study & Research","Course Total","10","4.000","80.0",".",".",".",".",".",".","10.0","",".",".",".","10.0",".",".",".","."
"COMP SCI
266","Dept. Total","4934","3.031","13.7","9.4","12.7","5.3","6.0","1.5","1.7","3.1","",".","38.8","4.4","0.1","0.0","3.2","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","911","2.598","2.4","2.7","5.2","1.9","4.0","1.4","1.2",".","",".","64.8","9.9",".",".","6.3",".","0.3"
"Sophomore","","1339","2.839","5.8","7.2","11.7","4.0","5.1","1.2","1.9","0.1","",".","53.4","5.5",".",".","3.8","0.1","0.1"
"Junior","","807","2.874","10.8","8.4","19.5","7.9","8.2","1.9","2.1",".","",".","34.9","4.0",".",".","2.4",".","."
"Senior","","1069","2.949","17.3","10.1","16.6","9.6","9.8","2.4","2.3","1.1","",".","26.9","1.7",".",".","1.9","0.1","0.1"
"Undergraduates","","4126","2.870","9.0","7.2","13.0","5.8","6.7","1.7","1.9","0.3","",".","45.4","5.2",".",".","3.6","0.0","0.1"
"Special","","99","3.096","17.2","17.2","11.1","4.0","7.1","2.0","2.0","2.0","",".","25.3","5.1",".",".","5.1","2.0","."
"Graduate","","709","3.610","40.3","20.9","11.3","2.5","1.7","0.1","0.1","19.2","",".","2.0",".","0.6","0.1","0.7","0.4","."
"","Dept. Total","4934","3.031","13.7","9.4","12.7","5.3","6.0","1.5","1.7","3.1","",".","38.8","4.4","0.1","0.0","3.2","0.1","0.1"
