"PLANT PATHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"766
PL PATH","","","","","","","","","","","","","","","","","","","",""
"123
Plants, Parasites, & People","001","","22","3.254","36.4","18.2","27.3","13.6",".",".","4.5",".",".",".",".",".",".",".",".","."
"299
Independent Study","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"332
Fungi","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"368
Envr Law, Toxic Subst&Consv","001","","22","2.575",".","18.2","31.8","13.6","18.2","4.5","4.5","9.1",".",".",".",".",".",".",".","."
"505
Plant-Microbe Interactions","001","","13","3.375","30.8","23.1","23.1","15.4",".",".",".","7.7",".",".",".",".",".",".",".","."
"517
Plant Disease Resistance","001","","13","3.500","30.8","38.5","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"682
Senior Honors Thesis","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","4","***","","","","","","","","","","","","","","","",""
"799
Pract-Plant Pathology Tchg","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"923
Seminar","001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","28","",".",".",".",".",".",".",".","64.3",".",".",".","35.7",".",".",".","."
