"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","216","2.564","11.1","15.7","17.1","11.6","30.1","11.6","0.9","1.4",".",".",".",".",".","0.5",".","."
"","102
001","8","3.583","37.5","25.0",".","12.5",".",".",".","12.5",".",".",".",".",".","12.5",".","."
"","102
002","11","3.786","45.5","9.1","9.1",".",".",".",".","36.4",".",".",".",".",".",".",".","."
"Beginning Swimming","Course Total","19","3.692","42.1","15.8","5.3","5.3",".",".",".","26.3",".",".",".",".",".","5.3",".","."
"","111
001","13","3.909","76.9",".","7.7",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"","111
002","20","3.906","75.0",".",".","5.0",".",".",".","20.0",".",".",".",".",".",".",".","."
"","111
003","23","3.750","87.0",".",".","4.3",".",".","4.3","4.3",".",".",".",".",".",".",".","."
"","004
111","22","3.938","68.2",".","4.5",".",".",".",".","27.3",".",".",".",".",".",".",".","."
"Self-defense&Assault Prevnt","Course Total","78","3.862","76.9",".","2.6","2.6",".",".","1.3","16.7",".",".",".",".",".",".",".","."
"","001
125","15","3.667","13.3",".","6.7",".",".",".",".","80.0",".",".",".",".",".",".",".","."
"","125
002","22","3.938","31.8","4.5",".",".",".",".",".","59.1",".",".",".",".",".",".","4.5","."
"","125
003","15","4.000","46.7",".",".",".",".",".",".","53.3",".",".",".",".",".",".",".","."
"","125
004","14","4.000","21.4",".",".",".",".",".",".","64.3",".",".",".",".",".",".","14.3","."
"Adapted Fitness&Pers Traing","Course Total","66","3.929","28.8","1.5","1.5",".",".",".",".","63.6",".",".",".",".",".",".","4.5","."
"","127
001","21","3.357","9.5","38.1","9.5","9.5",".",".",".","33.3",".",".",".",".",".",".",".","."
"","127
002","21","3.143",".","19.0","4.8","9.5",".",".",".","66.7",".",".",".",".",".",".",".","."
"","127
003","22","3.308","9.1","27.3","13.6","9.1",".",".",".","40.9",".",".",".",".",".",".",".","."
"","127
004","20","3.125",".","10.0","5.0","5.0",".",".",".","75.0",".",".",".",".",".","5.0",".","."
"","005
127","24","3.038","4.2","12.5","20.8","16.7",".",".",".","45.8",".",".",".",".",".",".",".","."
"","127
006","22","3.000",".","18.2","4.5","9.1","4.5",".",".","59.1",".",".",".",".","4.5",".",".","."
"Bowling I","Course Total","130","3.186","3.8","20.8","10.0","10.0","0.8",".",".","53.1",".",".",".",".","0.8","0.8",".","."
"","129
001","28","3.667","14.3","14.3","3.6",".",".",".",".","67.9",".",".",".",".",".",".",".","."
"","002
129","26","3.639","26.9","34.6","7.7",".",".",".",".","30.8",".",".",".",".",".",".",".","."
"","129
003","29","3.769","27.6","13.8","3.4",".",".",".",".","51.7","3.4",".",".",".",".",".",".","."
"Intro to Yoga Practice","Course Total","83","3.688","22.9","20.5","4.8",".",".",".",".","50.6","1.2",".",".",".",".",".",".","."
"Running (Aerobic Fitness)","130
001","24","3.533","25.0","25.0","8.3",".","4.2",".",".","37.5",".",".",".",".",".",".",".","."
"","131
001","18","3.800","66.7","11.1",".",".","5.6",".",".","16.7",".",".",".",".",".",".",".","."
"","131
002","18","3.500","27.8","38.9","16.7","5.6",".",".",".","11.1",".",".",".",".",".",".",".","."
"","131
003","20","2.750","5.0","15.0","30.0","10.0",".","5.0","5.0","30.0",".",".",".",".",".",".",".","."
"Cross Traing-Basic Fitness","Course Total","56","3.367","32.1","21.4","16.1","5.4","1.8","1.8","1.8","19.6",".",".",".",".",".",".",".","."
"","132
001","17","3.750","17.6","17.6",".",".",".",".",".","58.8","5.9",".",".",".",".",".",".","."
"","132
002","17","3.714","17.6","23.5",".",".",".",".",".","58.8",".",".",".",".",".",".",".","."
"","003
132","19","3.611","26.3","10.5","5.3","5.3",".",".",".","47.4","5.3",".",".",".",".",".",".","."
"","132
004","20","3.735","45.0","35.0","5.0",".",".",".",".","15.0",".",".",".",".",".",".",".","."
"","132
005","27","3.654","40.7","44.4","11.1",".",".",".",".","3.7",".",".",".",".",".",".",".","."
"","132
006","19","3.833","47.4","10.5","5.3",".",".",".",".","36.8",".",".",".",".",".",".",".","."
"","132
007","19","3.944","42.1","5.3",".",".",".",".",".","47.4","5.3",".",".",".",".",".",".","."
"","132
008","20","3.500","50.0","5.0","5.0","5.0",".",".","5.0","25.0","5.0",".",".",".",".",".",".","."
"","132
009","30","3.944","80.0","10.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","010
132","19","3.813","63.2","10.5","10.5",".",".",".",".","15.8",".",".",".",".",".",".",".","."
"Weight Training","Course Total","207","3.759","45.4","17.9","4.3","1.0",".",".","0.5","29.0","1.9",".",".",".",".",".",".","."
"","001
133","14","3.682","42.9","21.4","14.3",".",".",".",".","21.4",".",".",".",".",".",".",".","."
"","133
002","23","3.500","39.1","34.8","8.7",".",".",".","4.3","13.0",".",".",".",".",".",".",".","."
"","003
133","15","3.536","13.3","73.3","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","133
004","21","3.676","38.1","33.3","9.5",".",".",".",".","19.0",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 97 of 385"
