"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"Practcm-Secondry Sch French","246
001","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Practcm-Secondry Sch German","247
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practm:Secondry Sch Spanish","256
001","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Practicum-Secondary Sci Ed","290
001","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Practm-Secondry Sch English","296
001","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","305
001","","22","3.886","77.3","22.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","","29","3.732","72.4","17.2",".",".","3.4","3.4",".",".",".",".",".",".",".",".",".","3.4"
"","305
003","","20","3.950","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Rdg & Other Lang Arts","Course Total","","71","3.843","80.3","14.1","1.4",".","1.4","1.4",".",".",".",".",".",".",".",".",".","1.4"
"","322
001","","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
003","","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teachng Art:Pre-Middle Schl","Course Total","","55","3.936","87.3","12.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Gen Music-Secndry Schl","334
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Instrumental Music-Sec","336
001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","337
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","337
002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Teaching Music","Course Total","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
354","","23","3.935","91.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","354
002","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","354
003","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Music:Presch-Middl Sch","Course Total","","70","3.971","95.7","2.9","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching of Latin","355
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Teaching of Spanish","356
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract: Soc Studies-Sec Schl","358
001","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Practicum in Math-Sec Schl","361
001","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","362
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
002","","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
005","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
006","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drama in Education","Course Total","","50","3.910","88.0","6.0","6.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prac-Early Chldhd Ed-Kinder","363
001","","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","364
001","","25","3.840","96.0",".",".",".",".",".","4.0",".",".",".",".",".",".",".",".","."
"","364
002","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
364","","22","3.886","90.9",".","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Educ:Preschl-Mid Schl","Course Total","","66","3.902","95.5",".","1.5","1.5",".",".","1.5",".",".",".",".",".",".",".",".","."
"","367
001","","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
002","","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
003","","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
004","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Prac-Rdg&Lang:Pre-Middl Sch","Course Total","","72","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
