"","990
051","2","***","","","","","","","","","",".",".",".","",".",".",".","."
"","990
053","2","***","","","","","","","","","",".",".",".","",".",".",".","."
"","990
065","1","***","","","","","","","","","",".",".",".","",".",".",".","."
"Research","Course Total","54","",".",".",".",".",".",".",".","100.0",".",".",".","",".",".",".",".","."
"PSYCH
820","Dept. Total","4586","3.035","30.2","16.3","18.5","14.5","13.6","3.4","1.4","2.0","0.0",".",".","",".","0.1","0.0","0.0","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","922","2.677","12.5","16.2","15.8","27.5","19.3","5.4","2.8",".","0.1",".",".","",".",".",".","0.2","0.1"
"Sophomore","","1177","3.019","24.2","20.4","20.8","15.3","14.5","3.1","1.3","0.4",".",".",".","",".",".",".",".","."
"Junior","","1021","2.999","28.1","16.2","22.6","11.3","16.2","3.8","1.2","0.7",".",".",".","",".",".",".",".","."
"Senior","","1195","3.286","45.0","14.6","17.7","9.3","8.7","2.3","0.8","1.5",".",".",".","",".","0.1",".",".","0.1"
"Undergraduates","","4315","3.015","28.4","16.9","19.3","15.3","14.3","3.5","1.4","0.7","0.0",".",".","",".","0.0",".","0.0","0.0"
"Special","","36","3.217","36.1","19.4","11.1","2.8","16.7","2.8",".","8.3",".",".",".","",".",".","2.8",".","."
"Graduate","","232","3.830","62.1","5.6","4.3","0.9",".",".",".","24.6","0.4",".",".","",".","1.7","0.4",".","."
"Prof Yr 1","","2","2.750",".",".","50.0","50.0",".",".",".",".",".",".",".","",".",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".",".",".",".","."
"Professionals","","3","3.167","33.3",".","33.3","33.3",".",".",".",".",".",".",".","",".",".",".",".","."
"","Dept. Total","4586","3.035","30.2","16.3","18.5","14.5","13.6","3.4","1.4","2.0","0.0",".",".","",".","0.1","0.0","0.0","0.0"
