"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"VET","","","","","","","","","","","","","","","","","","","","","",""
"VET","College Total","3189","3.321","23.5","12.1","19.3","3.2","3.0","",".","0.0","38.2","",".","0.3",".","0.3","",".",".","0.1","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","P","I","","NW","NR","Other"
"VET","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".",".",".","",".",".",".","."
"Junior","","10","3.273","60.0","20.0","10.0",".",".","",".","10.0",".","",".",".",".",".","",".",".",".","."
"Senior","","24","3.384","41.7","16.7","25.0","12.5","4.2","",".",".",".","",".",".",".",".","",".",".",".","."
"Undergraduates","","35","3.371","48.6","17.1","20.0","8.6","2.9","",".","2.9",".","",".",".",".",".","",".",".",".","."
"Special","","12","3.423","16.7","41.7","25.0",".",".","",".",".","16.7","",".",".",".",".","",".",".",".","."
"Graduate","","101","3.528","19.8","11.9","8.9",".",".","",".",".","49.5","",".",".",".","7.9","",".",".","2.0","."
"Prof Yr 1","","708","3.253","16.9","16.1","27.3","4.4","3.7","",".",".","31.6","",".",".",".",".","",".",".",".","."
"Prof Yr 2","","730","3.331","21.4","18.1","27.5","4.9","3.2","",".",".","24.9","",".",".",".",".","",".",".",".","."
"Prof Yr 3","","789","3.046","11.9","14.8","25.5","4.1","5.8","",".",".","37.9","",".",".",".",".","",".",".",".","."
"Prof Yr 4","","814","3.997","42.0",".",".",".","0.1","",".",".","56.6","",".","1.2",".",".","",".",".",".","."
"Professionals","","3041","3.315","23.4","11.9","19.6","3.3","3.2","",".",".","38.3","",".","0.3",".",".","",".",".",".","."
"","College Total","3189","3.321","23.5","12.1","19.3","3.2","3.0","",".","0.0","38.2","",".","0.3",".","0.3","",".",".","0.1","."
