"MATHEMATICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"Intro-Combinatorics","475","001","","14","2.964","35.7","7.1","14.3","14.3","21.4","7.1",".",".",".",".",".",".",".",".",".","."
"","521","001","","15","2.667","20.0","6.7","40.0","6.7","13.3",".","13.3",".",".",".",".",".",".",".",".","."
"","521","002","","18","2.412","27.8",".","5.6","11.1","22.2","27.8",".",".","5.6",".",".",".",".",".",".","."
"Advanced Calculus","","Course Total","","33","2.531","24.2","3.0","21.2","9.1","18.2","15.2","6.1",".","3.0",".",".",".",".",".",".","."
"Advanced Calculus","522","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Modern Algebra","541","001","","36","2.750","11.1","13.9","19.4","30.6","22.2","2.8",".",".",".",".",".",".",".",".",".","."
"Modern Algebra","542","001","","13","3.462","46.2","15.4","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Topology","551","001","","19","3.105","42.1","5.3","15.8","15.8","15.8","5.3",".",".",".",".",".",".",".",".",".","."
"Elementary Number Theory","567","001","","35","3.143","40.0","8.6","14.3","14.3","22.9",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Logic","571","001","","14","3.208","35.7",".","28.6","7.1","14.3",".",".",".",".",".",".",".",".",".","14.3","."
"Intro-Measure & Integration","629","001","","9","3.333","33.3","11.1","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","","11","2.850","27.3",".","18.2","9.1","36.4",".",".","9.1",".",".",".",".",".",".",".","."
"Intro-Brownian Motn&Stoch Calc","635","001","","8","3.750","37.5","37.5",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","106","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Methods of Applied Math-2","704","001","","7","3.357","28.6","42.9","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Finite Difference Methods","712","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ordinary Differntl Equatns","716","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Complex Analysis","722","001","","16","3.688","56.3","25.0","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Secnd Crse in Real Analysis","725","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comput Meths-Lg Sparse Sys","733","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Abstract Algebra","742","001","","26","3.400","50.0","11.5","19.2","3.8","7.7","3.8",".",".",".",".",".",".",".",".",".","3.8"
"Rings and Modules","746","001","","14","3.500","71.4","14.3",".",".","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"Introductory Topology II","752","001","","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Algebraic Topology II","754","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Differential Topology","762","001","","9","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Algebraic Geometry","764","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Set Theory","771","001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Model Theory","776","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Applied Math","801","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Algebraic Number Theory","811","001","","14","3.643","78.6","14.3",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Adv Topics-Complex Analysis","823","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Functional Analysis","825","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Integration","828","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Probability","832","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Probability","833","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Topics in Algebra","841","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 249 of 385",""
