"EGR","","","","","","","","","","","","","","","","","","","",""
"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"M E
612","Dept. Total","2087","3.149","28.9","18.7","21.4","11.5","9.0","2.3","0.8","4.5","0.0",".","",".","2.3","0.3","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","96","3.105","26.0","21.9","20.8","11.5","17.7",".","1.0",".",".",".","",".",".",".","1.0",".","."
"Sophomore","","219","3.055","26.0","23.7","20.5","15.5","9.1","2.7","1.8",".",".",".","",".",".",".","0.5",".","."
"Junior","","463","3.015","24.8","17.1","28.3","13.2","11.7","4.3","0.6",".",".",".","",".",".",".",".",".","."
"Senior","","913","3.082","24.8","21.8","24.8","14.6","10.3","2.2","1.0","0.4",".",".","",".",".","0.1","0.1",".","."
"Undergraduates","","1691","3.062","25.0","20.8","25.0","14.1","10.9","2.7","1.0","0.2",".",".","",".",".","0.1","0.2",".","."
"Special","","25","3.625","64.0","8.0","8.0",".","4.0","4.0",".","8.0",".",".","",".",".","4.0",".",".","."
"Graduate","","372","3.776","44.4","10.2","5.9",".","0.3",".",".","23.7","0.3",".","",".","13.2","1.3",".","0.8","."
"","Dept. Total","2088","3.149","28.9","18.7","21.4","11.4","9.0","2.3","0.8","4.5","0.0",".","",".","2.3","0.3","0.1","0.1","."
