"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
001","18","3.094","33.3","16.7","22.2",".","5.6","5.6","5.6","5.6",".",".",".",".",".",".","5.6","."
"","101
002","17","3.469","29.4","35.3","23.5","5.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"","101
004","19","3.472","21.1","47.4","26.3",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","101
006","14","3.429","35.7","35.7","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","007
101","16","3.344","25.0","43.8","25.0",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"","101
008","20","3.125","30.0","30.0","10.0","15.0","10.0",".","5.0",".",".",".",".",".",".",".",".","."
"","101
010","21","3.225","28.6","33.3","9.5","9.5","9.5","4.8",".","4.8",".",".",".",".",".",".",".","."
"","101
011","15","3.455","26.7","13.3","33.3",".",".",".",".","26.7",".",".",".",".",".",".",".","."
"First Semester French","Course Total","140","3.313","28.6","32.1","20.0","5.0","4.3","2.1","1.4","5.7",".",".",".",".",".",".","0.7","."
"","102
001","11","3.136","9.1","45.5","18.2","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"","102
002","18","2.853","5.6","16.7","38.9","11.1","22.2",".",".","5.6",".",".",".",".",".",".",".","."
"","102
003","13","3.154","30.8","15.4","38.5",".","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"","102
004","19","3.265","21.1","15.8","47.4",".","5.3",".",".","10.5",".",".",".",".",".",".",".","."
"","102
006","20","3.175","30.0","40.0","5.0","5.0","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"","102
008","22","3.295","22.7","36.4","27.3","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"","010
102","19","2.853","5.3","21.1","26.3","26.3","5.3","5.3",".","5.3",".",".",".",".",".","5.3",".","."
"","102
011","26","3.462","30.8","42.3","19.2","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","148","3.175","20.3","29.7","27.0","8.1","8.8","2.7",".","2.7",".",".",".",".",".","0.7",".","."
"Second Sem French Honors","182
001","13","3.591","30.8","46.2",".","7.7",".",".",".","15.4",".",".",".",".",".",".",".","."
"","203
001","11","2.850","9.1","36.4",".","27.3","9.1","9.1",".","9.1",".",".",".",".",".",".",".","."
"","203
002","20","3.475","35.0","35.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","203
003","20","3.175","25.0","25.0","25.0","10.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"","203
005","24","3.646","62.5","12.5","20.8",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","203
007","20","3.763","60.0","30.0",".","5.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"","008
203","15","3.036","13.3","33.3","26.7","13.3",".",".","6.7","6.7",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","110","3.393","38.2","27.3","16.4","9.1","4.5","0.9","0.9","2.7",".",".",".",".",".",".",".","."
"","204
002","20","3.444","15.0","55.0","15.0","5.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"","204
003","25","3.300","32.0","28.0","20.0","8.0","12.0",".",".",".",".",".",".",".",".",".",".","."
"","204
005","13","3.038","23.1","30.8","23.1","7.7","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"","204
007","17","2.912","11.8","29.4","17.6","23.5","11.8","5.9",".",".",".",".",".",".",".",".",".","."
"","008
204","16","2.800",".","37.5","12.5","25.0","12.5","6.3",".","6.3",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","91","3.131","17.6","36.3","17.6","13.2","8.8","2.2","1.1","3.3",".",".",".",".",".",".",".","."
"","227
001","12","3.563","16.7","58.3","8.3",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","227
002","12","3.208","25.0","25.0","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","227
003","19","3.447","36.8","26.3","31.6",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","227
005","14","3.167","28.6","21.4","7.1","21.4",".","7.1",".","14.3",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","57","3.354","28.1","31.6","21.1","5.3","5.3","1.8",".","7.0",".",".",".",".",".",".",".","."
"","228
001","23","3.613","43.5","34.8","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","002
228","12","3.523","58.3","25.0","8.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","228
003","18","3.436","11.1","61.1","22.2",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","53","3.534","35.8","41.5","17.0","1.9",".",".","1.9","1.9",".",".",".",".",".",".",".","."
"","271
002","12","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
271","18","3.472","38.9","27.8","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","004
271","17","3.382","35.3","23.5","23.5","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Literary Analysis","Course Total","47","3.489","40.4","27.7","21.3","10.6",".",".",".",".",".",".",".",".",".",".",".","."
