"","990
097","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
100","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
101","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","54","",".",".",".",".",".",".",".","85.2",".",".",".","11.1","",".",".","3.7","."
"GENETICS
412","Dept. Total","475","3.311","40.6","16.4","14.1","6.5","6.9","2.7","0.8","9.9",".",".",".","1.3","",".",".","0.6","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","35","3.648","62.9","22.9","8.6",".","5.7",".",".",".",".",".",".",".","",".",".",".","."
"Sophomore","","66","3.451","54.5","15.2","19.7","1.5","6.1","3.0",".",".",".",".",".",".","",".",".",".","."
"Junior","","102","2.947","29.4","16.7","12.7","17.6","15.7","4.9","2.0","1.0",".",".",".",".","",".",".",".","."
"Senior","","158","3.364","44.3","22.8","16.5","6.3","5.7","3.2","1.3",".",".",".",".",".","",".",".",".","."
"Undergraduates","","361","3.277","43.8","19.7","15.2","8.0","8.6","3.3","1.1","0.3",".",".",".",".","",".",".",".","."
"Special","","26","3.563","73.1","3.8","11.5","3.8","3.8","3.8",".",".",".",".",".",".","",".",".",".","."
"Graduate","","88","3.512","18.2","6.8","10.2","1.1","1.1",".",".","52.3",".",".",".","6.8","",".",".","3.4","."
"","Dept. Total","475","3.311","40.6","16.4","14.1","6.5","6.9","2.7","0.8","9.9",".",".",".","1.3","",".",".","0.6","."
