"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"Photography","Course Total","29","3.845","82.8","10.3","3.4",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"","412
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","412
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Drawing II","Course Total","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","10","3.400","60.0","20.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"Intermediate Painting II","Course Total","19","3.658","73.7","15.8","5.3",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Computer Imaging Techniques","428
001","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","448
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
448","13","3.736","69.2","23.1",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","004
448","28","3.981","92.9","3.6",".",".",".",".",".",".",".",".",".",".",".","3.6",".","."
"","005
448","13","3.773","69.2","7.7","15.4",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","448
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","007
448","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","104","3.914","88.5","4.8","3.8",".","1.0",".",".",".",".",".",".",".","1.0","1.0",".","."
"Concept&Methodol of Figuration","452
001","9","3.611","66.7","11.1","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Photography","476
001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Relief Printmaking","506
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Colloquium in Art","508
001","71","3.848","76.1","15.5","2.8","2.8",".",".",".",".",".",".",".",".",".",".","2.8","."
"Advanced Drawing I","512
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Sculpture I","514
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Lithography","516
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","522
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","522
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Painting I","Course Total","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Ceramics I","524
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Etching/Intaglio","526
001","7","3.700","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer-Mediated Art","528
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Life Drawing I","532
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Wood Working","534
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Serigraphy","536
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Watercolor I","542
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Art Metal I","544
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Typography&Graphic Dsgn","546
001","19","3.632","36.8","52.6","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Concpts&Meth-Figuratn I","552
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Glassworking","554
001","15","3.439","26.7","33.3","26.7","6.7",".",".",".",".",".",".",".",".","6.7",".",".","."
"Adv Graphic Design Technlgy","556
001","17","3.706","52.9","41.2",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Set Design II","572
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Photography","576
001","9","3.722","77.8","11.1",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Interdis Critiq-Visual Arts","608
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Drawing II","612
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 75 of 385"
