"L&S","","","","","","","","","","","","","","","","","","","",""
"BOTANY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"BOTANY
208","Dept. Total","905","3.193","38.7","15.4","21.2","5.9","9.5","3.3","1.0","3.1","0.1",".","",".","1.4","0.2","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","87","3.046","31.0","20.7","16.1","10.3","16.1","2.3","2.3",".",".",".","",".",".","1.1",".",".","."
"Sophomore","","206","3.076","33.5","17.0","25.2","5.8","12.6","2.9","2.4",".",".",".","",".",".","0.5",".",".","."
"Junior","","220","3.113","32.7","15.9","23.6","9.1","12.7","5.5",".",".",".",".","",".","0.5",".",".",".","."
"Senior","","268","3.307","43.7","16.8","24.6","3.7","6.0","3.4","0.7",".","0.4",".","",".","0.7",".",".",".","."
"Undergraduates","","781","3.157","36.5","17.0","23.6","6.5","10.8","3.7","1.2",".","0.1",".","",".","0.4","0.3",".",".","."
"Special","","10","3.271","30.0","10.0","30.0",".","10.0",".",".","20.0",".",".","",".",".",".",".",".","."
"Graduate","","114","3.722","54.4","4.4","4.4","1.8","0.9","0.9",".","22.8",".",".","",".","8.8",".","0.9","0.9","."
"","Dept. Total","905","3.193","38.7","15.4","21.2","5.9","9.5","3.3","1.0","3.1","0.1",".","",".","1.4","0.2","0.1","0.1","."
