"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"General Chemistry","103
001","271","2.758","19.6","11.1","26.6","10.0","23.2","7.7","1.8",".",".",".",".",".",".",".",".","."
"","104
001","216","2.849","16.7","8.8","37.0","12.0","21.8","1.4","1.9",".",".",".",".",".",".",".",".","0.5"
"","002
104","296","2.789","20.3","9.1","26.4","9.5","29.7","3.7","1.4",".",".",".",".",".",".",".",".","."
"","003
104","266","2.621","10.2","5.6","41.4","6.0","27.8","6.0","2.6",".",".",".",".",".",".",".","0.4","."
"","004
104","310","2.935","25.2","8.4","33.5","5.8","22.3","3.9","1.0",".",".",".",".",".",".",".",".","."
"","104
005","176","3.006","17.6","29.5","19.3","17.0","10.8","4.5","1.1",".",".",".",".",".",".",".",".","."
"General Chemistry","Course Total","1264","2.830","18.4","11.0","32.1","9.3","23.5","4.0","1.6",".",".",".",".",".",".",".","0.1","0.1"
"General Chemistry","108
001","109","2.954","32.1","11.9","23.9","6.4","16.5","4.6","4.6",".",".",".",".",".",".",".",".","."
"","110
001","86","3.047","29.1","16.3","23.3","11.6","14.0","4.7","1.2",".",".",".",".",".",".",".",".","."
"","110
002","112","3.518","49.1","21.4","17.9","8.9","1.8","0.9",".",".",".",".",".",".",".",".",".","."
"","110
003","81","3.025","24.7","28.4","16.0","8.6","16.0","2.5","3.7",".",".",".",".",".",".",".",".","."
"Gen & Analytical Chem II","Course Total","279","3.229","35.8","21.9","19.0","9.7","9.7","2.5","1.4",".",".",".",".",".",".",".",".","."
"Chemical Principles II","001
116","26","3.404","42.3","23.1","19.2","11.5",".","3.8",".",".",".",".",".",".",".",".",".","."
"Analytical Chemistry","221
001","50","3.350","26.0","28.0","38.0","6.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"","299
011","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
030","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
046","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
054","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
059","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","12","3.705","83.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Organic Chemistry","001
343","196","2.656","20.9","10.2","18.4","4.6","35.7","8.2","2.0",".",".",".",".",".",".",".",".","."
"","344
001","16","3.344","25.0","25.0","43.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","344
002","16","3.281","18.8","31.3","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","344
003","16","3.469","37.5","18.8","43.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
344","18","3.333","22.2","27.8","44.4","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","005
344","15","3.533","33.3","40.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","344
006","16","3.438","25.0","37.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","344
007","17","3.441","29.4","35.3","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","008
344","16","3.500","31.3","43.8","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","009
344","17","3.344","35.3","11.8","29.4","17.6",".",".",".",".",".",".",".",".",".","5.9",".","."
"","010
344","16","3.344","31.3","25.0","25.0","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"","344
011","15","3.567","26.7","60.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
344","15","3.433","33.3","40.0","6.7","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","013
344","18","3.417","33.3","27.8","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","014
344","18","3.528","33.3","38.9","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","344
015","17","3.324","23.5","29.4","35.3","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","344
016","17","3.265","17.6","41.2","23.5","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","344
017","8","3.375","12.5","50.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","344
018","9","3.111","11.1","33.3","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","344
019","9","3.056","11.1","55.6","22.2",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"","344
020","10","3.300","20.0","30.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","023
344","17","3.441","35.3","29.4","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","344
024","17","3.294","11.8","41.2","41.2","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","025
344","15","3.333","33.3","13.3","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 174 of 385",""
