"","990
011","4","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
013","4","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
014","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"Thesis-Research","Course Total","26","",".",".",".",".",".",".",".","76.9",".",".",".","23.1","",".",".",".","."
"CBE
220","Dept. Total","798","3.092","29.1","14.0","21.2","9.0","10.9","2.8","0.5","7.9",".","0.8",".","3.9","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","34","2.880","20.6","5.9","38.2","14.7","11.8","8.8",".",".",".",".",".",".","",".",".",".","."
"Junior","","123","2.962","22.0","18.7","26.0","15.4","12.2","4.9","0.8",".",".",".",".",".","",".",".",".","."
"Senior","","457","3.068","33.0","15.5","24.1","9.8","14.4","2.4","0.7",".",".",".",".",".","",".",".",".","."
"Undergraduates","","614","3.033","30.1","15.6","25.2","11.2","13.8","3.3","0.7",".",".",".",".",".","",".",".",".","."
"Special","","11","2.765","27.3",".","36.4",".","18.2","18.2",".",".",".",".",".",".","",".",".",".","."
"Graduate","","175","3.664","26.3","9.1","5.7","1.7",".",".",".","36.0",".","3.4",".","17.7","",".",".",".","."
"","Dept. Total","800","3.092","29.3","14.0","21.1","9.0","10.9","2.8","0.5","7.9",".","0.8",".","3.9","",".",".",".","."
