"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"","101
001","430","2.592","10.5","6.7","25.8","20.9","28.1","6.5","0.9","0.5",".",".",".",".",".",".",".","."
"","101
002","404","2.641","14.6","7.4","25.7","15.8","28.2","6.4","1.7",".",".",".",".",".",".",".",".","."
"","101
003","342","2.820","13.7","14.3","33.9","15.2","15.8","4.7","2.0",".",".",".",".",".",".","0.3",".","."
"","101
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Principles-Microeconomics","Course Total","1177","2.676","12.8","9.3","28.1","17.5","24.6","5.9","1.5","0.2",".",".",".",".",".","0.1",".","."
"","102
001","311","2.690","13.5","13.5","24.1","18.6","19.9","8.0","1.9","0.3",".",".",".",".",".",".",".","."
"","102
002","285","2.810","15.4","18.9","22.8","13.7","21.4","4.6","2.1",".",".",".",".",".","0.7","0.4",".","."
"","102
004","222","2.683","13.5","14.9","20.7","18.5","23.0","6.8","2.3","0.5",".",".",".",".",".",".",".","."
"Principles-Macroeconomics","Course Total","818","2.730","14.2","15.8","22.7","16.9","21.3","6.5","2.1","0.2",".",".",".",".","0.2","0.1",".","."
"Prin/Econ-Accelratd Treatmt","111
001","50","3.420","36.0","30.0","20.0","10.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Bascom Course","236
001","16","2.967","6.3","37.5","12.5","18.8","18.8",".",".",".",".",".",".",".",".","6.3",".","."
"","300
001","15","2.500",".","20.0","40.0","6.7","13.3",".","13.3","6.7",".",".",".",".",".",".",".","."
"","300
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
003","7","2.750",".",".","57.1","14.3","14.3",".",".","14.3",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","26","2.478",".","11.5","42.3","11.5","11.5",".","11.5","11.5",".",".",".",".",".",".",".","."
"","301
001","77","3.132","24.7","15.6","29.9","14.3","6.5","1.3","1.3","5.2",".",".",".",".",".",".","1.3","."
"","301
002","70","2.780","8.6","11.4","21.4","38.6","12.9","1.4",".","5.7",".",".",".",".",".",".",".","."
"Intmed Microeconomic Theory","Course Total","147","2.964","17.0","13.6","25.9","25.9","9.5","1.4","0.7","5.4",".",".",".",".",".",".","0.7","."
"","001
302","88","2.849","15.9","19.3","27.3","14.8","9.1","10.2","1.1","2.3",".",".",".",".",".",".",".","."
"","302
002","53","2.585","17.0","11.3","18.9","22.6","11.3","15.1","3.8",".",".",".",".",".",".",".",".","."
"Intmed Macroeconomic Theory","Course Total","141","2.748","16.3","16.3","24.1","17.7","9.9","12.1","2.1","1.4",".",".",".",".",".",".",".","."
"The Real Estate Process","306
001","35","2.662","8.6","17.1","40.0","2.9","17.1","2.9","8.6","2.9",".",".",".",".",".",".",".","."
"Stats:Measrmnt in Economics","310
001","82","2.561","18.3","13.4","13.4","15.9","22.0","12.2","4.9",".",".",".",".",".",".",".",".","."
"","320
001","6","2.667",".",".","83.3",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"","002
320","6","2.917","33.3",".",".","50.0","16.7",".",".",".",".",".",".",".",".",".",".","."
"Investments","Course Total","12","2.792","16.7",".","41.7","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"Public Utilities","325
001","20","3.316","25.0","30.0","30.0",".","10.0",".",".","5.0",".",".",".",".",".",".",".","."
"Money and Banking","330
001","181","2.802","16.6","17.1","18.8","18.8","18.8","5.5","1.7","2.2","0.6",".",".",".",".",".",".","."
"Role of Govt-The Economy","352
001","65","3.134","23.1","18.5","30.8","12.3","10.8","1.5",".","3.1",".",".",".",".",".",".",".","."
"Issues-Comparative Economics","365
001","33","3.136","30.3","9.1","30.3","18.2","12.1",".",".",".",".",".",".",".",".",".",".","."
"Introductory Econometrics","410
001","34","2.985","23.5","23.5","23.5","8.8","8.8","2.9","5.9","2.9",".",".",".",".",".",".",".","."
"Econ Analysis-Agric Markets","421
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Episodes-Macroeconomic Hist","432
001","34","3.207","29.4","14.7","35.3","8.8","11.8",".",".",".",".",".",".",".",".",".",".","."
"Wages and the Labor Market","450
001","37","2.784","16.2","13.5","21.6","18.9","24.3","5.4",".",".",".",".",".",".",".",".",".","."
"Collect Bargaing&Pub Policy","001
453","19","3.059","15.8","26.3","15.8","26.3",".","5.3",".",".",".",".",".",".",".","5.3",".","5.3"
"Internatl Trade & Finance","001
464","101","2.757","14.9","18.8","22.8","17.8","15.8","5.9","4.0",".",".",".",".",".",".",".",".","."
"American Economy Since 1865","466
001","22","2.667",".","9.1","40.9","22.7","13.6","4.5",".","9.1",".",".",".",".",".",".",".","."
"Indus Organizat/Imperf Comp","468
001","39","2.538","12.8","10.3","28.2","15.4","17.9","7.7","7.7",".",".",".",".",".",".",".",".","."
"Econ Grwth&Devlpmnt-SE Asia","001
473","16","2.813","31.3","12.5","12.5","25.0",".","12.5","6.3",".",".",".",".",".",".",".",".","."
"Econ Probs-Developing Areas","474
001","36","2.847","16.7","25.0","13.9","11.1","27.8","5.6",".",".",".",".",".",".",".",".",".","."
"Philosophy and Economics","524
001","6","3.083","16.7","16.7","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Ind Rel-Develping Countries","552
001","10","3.100","30.0","10.0","30.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
