"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"Directed Study","Course Total","","10","3.386","80.0",".",".","10.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"742
Assess&Treat Chld&Adolescnt","001","","25","3.840","72.0","24.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"746
Intrdis Care-Chld/Chron Illnss","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"800
Field Prac/Integrat Smr III","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"801","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"801","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"801","003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"801","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"801","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"801","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"801","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"801","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"801","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"801","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"801","013","","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","014","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","015","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr IV","Course Total","","71","3.979","97.2","1.4","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"822
Family Law I","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"845
Case Management","001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"861
Recent Developmnts-Soc Work","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"867
Recent Developmnts-Soc Work","001","","19","3.868","84.2","5.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"869
Recent Developmnts-Soc Work","001","","25","3.940","88.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"870
Mental Illness-Comm Treatmt","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"871
Human Service Organizations","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"923
Family Violence","001","","19","3.842","68.4","31.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"924
Family Problems & Soc Work","001","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"934
Adv Prac Iss-Devel Disabilties","001","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"940
Ethicl Behav-Soc Work Pract","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"942
Philos-Sci & Thry-Appl Rsch","001","","14","3.714","50.0","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"945
Evaluation Research","001","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis-Research","Course Total","","11","",".",".",".",".",".",".",".","54.5",".",".",".","45.5",".",".",".","."
"991","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"991","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Work Applicatns of Rsch","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
