"LATIN (CLASSICS)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","","",""
"","104
001","","19","3.132","47.4","10.5","15.8","5.3","5.3","15.8",".",".",".",".",".",".",".",".",".","."
"","104
002","","20","3.375","45.0","25.0","5.0","10.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"","104
003","","12","3.000","16.7","25.0","16.7","25.0","16.7",".",".",".",".",".",".",".",".",".",".","."
"","104
004","","18","3.194","27.8","11.1","33.3","27.8",".",".",".",".",".",".",".",".",".",".",".","."
"","005
104","","17","3.676","52.9","29.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Latin","Course Total","","86","3.291","39.5","19.8","17.4","12.8","7.0","3.5",".",".",".",".",".",".",".",".",".","."
"Intro to Latin Literature","204
001","","21","3.262","38.1","9.5","23.8","23.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"Latin Lit of Roman Empire","302
001","","12","3.542","66.7",".","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Latin Paleography","316
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Vergil","515
001","","11","3.818","81.8",".","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Latin Hist Writers","539
001","","10","3.556","50.0","20.0","10.0",".","10.0",".",".","10.0",".",".",".",".",".",".",".","."
"Mediaeval Latin","563
001","","8","3.857","62.5","25.0",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Directed Study","699
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research Thesis","890
014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Poetry","910
001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"LATIN
524","Dept. Total","","163","3.402","47.9","16.0","15.3","10.4","5.5","1.8",".","3.1",".",".",".",".",".",".",".","."
