"EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"300","001","","34","3.779","67.6","20.6","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","002","","22","3.773","59.1","36.4","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","003","","24","3.729","45.8","54.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","004","","24","3.896","79.2","20.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","005","","32","3.733","53.1","31.3","9.4",".",".",".",".","3.1",".",".",".",".",".",".","3.1","."
"300","006","","28","3.696","46.4","46.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"School and Society","Course Total","","164","3.765","58.5","34.1","6.1",".",".",".",".","0.6",".",".",".",".",".",".","0.6","."
"399
Independent Reading","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"412
History-American Education","001","","52","3.265","17.3","36.5","30.8","5.8","1.9",".","1.9","3.8",".",".",".",".",".",".","1.9","."
"470
Asian Americans-US Schools","001","","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"548
Educational Ethics","001","","13","3.851","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"560
Gender and Education","001","","27","3.380","11.1","55.6","22.2",".","3.7",".",".","3.7",".",".",".",".",".","3.7",".","."
"567
Hist-Educ of Black Americns","001","","15","3.633","53.3","26.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","2","***","","","","","","","","","","","","","","","",""
"720
Prosem-Soc Sci&Ed Pol Stdy","001","","14","3.833","57.1","28.6",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"755
Methods-Qualitative Resch","001","","14","3.731","42.9","50.0",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"765
Issues in Educ Policy Analysis","001","","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"805
Gender Issues-Intl Educ Policy","001","","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"870
Theories-Soc & Ed Change","001","","9","3.750","44.4","44.4",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"906
Prosem-History of Education","001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"970
Smr-Anthropology&Education","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","27","",".",".",".",".",".",".",".","77.8","7.4",".",".","14.8",".",".",".","."
"999","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","008","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 93 of 385"
