"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"LIBRARY & INFORMATION STUD Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","","","",""
"L I S
Dept. Total
544","485","3.822","64.9","26.8","2.5","0.4","0.2","",".","",".","3.1","",".",".","",".","",".","1.4",".","0.4","0.2"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","7","3.571","28.6","57.1","14.3",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","13","3.583","53.8","15.4","15.4",".","7.7","",".","",".","7.7","",".",".","",".","",".",".",".",".","."
"Undergraduates","21","3.600","47.6","28.6","14.3",".","4.8","",".","",".","4.8","",".",".","",".","",".",".",".",".","."
"Special","33","3.865","69.7","18.2","3.0",".",".","",".","",".","3.0","",".",".","",".","",".","3.0",".","3.0","."
"Graduate","431","3.829","65.4","27.4","1.9","0.5",".","",".","",".","3.0","",".",".","",".","",".","1.4",".","0.2","0.2"
"Dept. Total","485","3.822","64.9","26.8","2.5","0.4","0.2","",".","",".","3.1","",".",".","",".","",".","1.4",".","0.4","0.2"
