"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Amer Hist to Civil War Era","101","001","75","3.236","8.0","45.3","32.0","5.3","5.3",".",".","4.0",".",".",".",".",".",".",".","."
"","102","001","207","3.240","14.0","40.6","30.9","5.8","3.4","1.0","1.0","3.4",".",".",".",".",".",".",".","."
"","102","002","259","3.455","29.7","37.5","27.8","2.7","1.2","0.4",".","0.8",".",".",".",".",".",".",".","."
"","102","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Amer Hist-Civil War-Present","","Course Total","467","3.361","22.7","38.8","29.1","4.1","2.1","0.6","0.4","1.9",".",".",".",".",".",".",".","0.2"
"The Ancient Mediterranean","110","001","63","2.894","23.8","17.5","27.0","3.2","12.7","7.9","4.8","3.2",".",".",".",".",".",".",".","."
"Modern Europe 1500-1815","119","001","71","2.784","11.3","18.3","26.8","12.7","19.7","2.8","2.8","2.8",".",".",".",".",".",".","2.8","."
"Europe&Mod World 1815-On","120","001","40","3.569","45.0","30.0","20.0",".",".",".","2.5","2.5",".",".",".",".",".",".",".","."
"British Hist: 1688-Present","124","001","129","3.343","34.9","24.0","25.6","6.2","3.1","1.6","1.6","2.3",".",".",".",".",".",".","0.8","."
"Middle East-20th Century","139","001","69","3.586","55.1","14.5","24.6","1.4","2.9",".",".","1.4",".",".",".",".",".",".",".","."
"Directed Study","199","000A","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Westrn Relig&Intellect Hist","208","001","43","3.300","23.3","37.2","23.3","4.7",".","2.3","2.3","4.7",".",".",".",".","2.3",".",".","."
"","223","001","39","3.569","38.5","33.3","15.4","5.1",".",".",".","7.7",".",".",".",".",".",".",".","."
"","223","002","30","3.714","56.7","23.3","10.0","3.3",".",".",".","3.3",".",".",".",".",".",".","3.3","."
"Exploration-European Hist (H)","","Course Total","69","3.633","46.4","29.0","13.0","4.3",".",".",".","5.8",".",".",".",".",".",".","1.4","."
"Exploration-3rd World Hist (H)","225","001","21","2.868","14.3","33.3","28.6",".",".",".","14.3","4.8",".",".",".",".",".","4.8",".","."
"Modern Latin America","242","001","192","3.285","33.3","17.7","34.4","4.7","5.2","1.0","1.6","1.6",".",".",".",".",".","0.5",".","."
"SE Asia:Vietnam to Philipns","244","001","36","2.771","25.0","8.3","22.2","8.3","22.2","8.3","2.8",".","2.8",".",".",".",".",".",".","."
"American Business History","247","001","119","2.752","8.4","16.8","31.9","16.0","16.0","5.9","1.7","2.5",".",".",".",".",".",".","0.8","."
"Russia: An Interdis Survey","253","001","30","3.345","13.3","46.7","30.0","6.7",".",".",".",".",".",".",".",".",".",".","3.3","."
"Africa: Introductory Survey","277","001","55","2.954","18.2","18.2","27.3","12.7","20.0",".","1.8","1.8",".",".",".",".",".",".",".","."
"Honors Smr-Studies in Hist","283","001","10","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist Am Thought 1859-Pres","302","001","71","3.292","21.1","31.0","33.8","12.7","1.4",".",".",".",".",".",".",".",".",".",".","."
"Latin Paleography","316","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Afr/Afroam Hist Rel-1700 on","330","001","24","3.022","12.5","29.2","25.0","8.3","20.8",".",".","4.2",".",".",".",".",".",".",".","."
"Hist-Modern China 1911-1949","338","001","59","3.564","45.8","32.2","16.9","1.7","1.7",".","1.7",".",".",".",".",".",".",".",".","."
"American Rev 1763-1789","344","001","48","3.755","58.3","31.3","8.3",".",".",".",".","2.1",".",".",".",".",".",".",".","."
"France from 1799-1914","348","001","78","2.954","17.9","20.5","28.2","14.1","5.1","10.3","1.3","2.6",".",".",".",".",".",".",".","."
"Seventeenth-Century Europe","351","001","55","3.025","9.1","18.2","36.4","10.9","12.7",".",".","12.7",".",".",".",".",".",".",".","."
"Women & Gender in US to 1870","353","001","50","3.367","24.0","26.0","40.0","2.0","2.0",".",".","6.0",".",".",".",".",".",".",".","."
"History of Africa to 1500","376","001","42","2.691",".","26.2","23.8","31.0","9.5","9.5",".",".",".",".",".",".",".",".",".","."
"Civil War Era, 1848-1877","393","001","41","3.270","29.3","31.7","19.5",".","4.9",".","4.9","9.8",".",".",".",".",".",".",".","."
"Military Hist-United States","396","001","137","3.265","24.8","38.0","18.2","6.6","5.8","2.9","1.5","0.7",".",".",".",".",".","0.7","0.7","."
"United States 1914-1945","397","001","39","3.177","15.4","33.3","25.6","15.4","7.7",".",".","2.6",".",".",".",".",".",".",".","."
"The US Since 1945","398","001","212","3.448","24.1","43.4","25.9","1.4","0.9","0.5",".","2.4",".",".",".",".",".","1.4",".","."
"Immigratn&Assimlatn-Am Hist","403","001","144","3.267","22.9","31.9","26.4","9.7","3.5","1.4","0.7","2.1",".",".",".",".","1.4",".",".","."
"Hist-Germany, 1871-Present","410","001","78","3.323","28.2","34.6","19.2","6.4","5.1","1.3","1.3","3.8",".",".",".",".",".",".",".","."
"History-American Education","412","001","86","2.970","8.1","27.9","26.7","24.4","8.1","2.3",".","1.2",".",".",".",".",".",".","1.2","."
"E Europe Jews in US,1880-1930s","416","001","52","3.069","15.4","30.8","32.7","9.6",".","3.8","3.8","1.9",".",".",".",".",".","1.9",".","."
"History of Russia","418","001","59","3.209","16.9","32.2","32.2","8.5","8.5",".",".",".",".",".",".",".",".",".","1.7","."
"History of Scand to 1815","431","001","37","3.591","40.5","24.3","24.3",".",".",".",".","8.1",".",".",".",".",".","2.7",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 224 of 385",""
