"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Cultural Geog","101","001","146","3.176","25.3","30.8","23.3","8.2","6.8","2.1","2.7","0.7",".",".",".",".",".",".",".","."
"","120","001","155","3.157","18.1","36.1","23.2","11.6","4.5","5.2",".","0.6",".",".",".",".",".",".","0.6","."
"","120","002","157","3.039","16.6","29.9","29.9","7.0","7.6","6.4","1.3","0.6",".",".",".",".",".",".","0.6","."
"Global Phys Environments","","Course Total","312","3.097","17.3","33.0","26.6","9.3","6.1","5.8","0.6","0.6",".",".",".",".",".",".","0.6","."
"Atmspherc Envirnmnt&Society","121","001","72","2.879","19.4","16.7","13.9","23.6","20.8","1.4","1.4","1.4",".",".",".",".",".","1.4",".","."
"","127","001","96","2.874","13.5","26.0","18.8","15.6","19.8","4.2","1.0",".",".",".",".",".","1.0",".",".","."
"","127","002","179","2.863","15.6","20.1","21.8","20.7","16.8","2.8","2.2",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","","Course Total","275","2.867","14.9","22.2","20.7","18.9","17.8","3.3","1.8",".",".",".",".",".","0.4",".",".","."
"Bascom Course","236","001","10","3.300","20.0","30.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","7","3.143","28.6","14.3","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253","001","7","2.929",".","28.6","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to the City","305","001","37","2.667","13.5","10.8","18.9","16.2","32.4","5.4",".","2.7",".",".",".",".",".",".",".","."
"Regional Develop & Planning","312","001","30","2.857","6.7","10.0","40.0","23.3","13.3",".",".","6.7",".",".",".",".",".",".",".","."
"Geog,Politics&Territorialty","318","001","45","3.190","24.4","22.2","26.7","13.3","4.4",".","2.2","6.7",".",".",".",".",".",".",".","."
"Landforms-Topics & Regions","326","001","41","3.232","34.1","19.5","24.4","2.4","19.5",".",".",".",".",".",".",".",".",".",".","."
"","339","001","58","2.868","12.1","19.0","19.0","31.0","15.5","1.7",".","1.7",".",".",".",".",".",".",".","."
"","339","002","77","2.370","6.5","7.8","11.7","32.5","28.6","10.4","2.6",".",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","135","2.582","8.9","12.6","14.8","31.9","23.0","6.7","1.5","0.7",".",".",".",".",".",".",".","."
"Geography of Wisconsin","342","001","44","2.865","11.4","20.5","18.2","15.9","13.6","2.3","2.3","11.4",".",".",".",".",".",".","4.5","."
"The American West","344","001","38","3.333","34.2","18.4","21.1","18.4","2.6",".",".","5.3",".",".",".",".",".",".",".","."
"Africa, South of the Sahara","355","001","36","3.043","25.0","8.3","33.3","11.1","19.4",".",".",".",".",".",".",".","2.8",".",".","."
"China and Southeast Asia","358","001","28","3.204","25.0","21.4","35.7","3.6","7.1","3.6",".","3.6",".",".",".",".",".",".",".","."
"Introduction to Cartography","370","001","29","3.321","34.5","31.0","6.9","17.2","3.4","3.4",".",".",".",".",".",".","3.4",".",".","."
"Intro to Geog Info Systems","377","001","38","3.264","31.6","15.8","23.7","18.4","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"Glacial&Pleistocene Geology","420","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"People, Wildlife & Landscapes","434","001","13","3.455","38.5","23.1","7.7","7.7","7.7",".",".","15.4",".",".",".",".",".",".",".","."
"Health&Soc Welfare-West Soc","444","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Amer Environmental History","460","001","8","2.813","12.5","37.5","25.0",".","12.5",".","12.5",".",".",".",".",".",".",".",".","."
"Rsch the City: Qual Strategies","503","001","12","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist Geog-European Urbanztn","506","001","19","3.719","47.4","31.6",".","5.3",".",".",".","10.5",".",".",".",".",".","5.3",".","."
"Past Climates&Climatic Chg","528","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Global Climates","531","001","6","3.250","50.0",".","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Culture and Environment","537","001","23","3.068","30.4","13.0","21.7","17.4","4.3","8.7",".","4.3",".",".",".",".",".",".",".","."
"Colloq-Undergraduate Majors","565","001","30","3.967","96.7",".","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graphic Design-Cartography","572","001","29","3.232","27.6","24.1","27.6","13.8",".",".","3.4","3.4",".",".",".",".",".",".",".","."
"GIS Applications","578","001","22","3.341","27.3","40.9","27.3",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"GIS and Spatial Analysis","579","001","22","3.205","18.2","18.2","50.0","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"","602","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","046","4","***","","","","","","","","","",".",".",".",".",".",".","."
