"L&S","","","","","","","","","","","","","","","","","","","","","",""
"CLASSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","","","","",""
"Elem Ancient Egyptian Lang","308
001","2","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"Civilizat of Ancient Rome","322
001","80","3.082","21.3","30.0","27.5","6.3","5.0","6.3","2.5","1.3",".",".",".","",".","",".","",".",".","."
"Classical Mythology","370
001","381","3.241","31.0","25.5","22.8","6.6","8.4","3.4","0.5","1.6","0.3",".",".","",".","",".","",".",".","."
"Roman Archaeology","436
001","60","3.307","43.3","20.0","10.0","5.0","11.7","5.0",".","5.0",".",".",".","",".","",".","",".",".","."
"Roman Archaeology Tutorial","456
001","2","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"Undergrad Smr:Classicl Wrld","591
001","17","3.412","29.4","29.4","35.3","5.9",".",".",".",".",".",".",".","",".","",".","",".",".","."
"Directed Reading","699
009","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"CLASSICS
244","Dept. Total","543","3.235","31.5","25.4","22.3","6.3","7.9","3.9","0.7","1.8","0.2",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","55","3.291","34.5","29.1","16.4","3.6","14.5","1.8",".",".",".",".","",".","",".","",".",".",".","."
"Sophomore","","217","3.263","32.3","27.6","23.0","5.5","7.4","2.8","1.4",".",".",".","",".","",".","",".",".",".","."
"Junior","","140","3.345","35.0","29.3","17.1","6.4","9.3","1.4",".","1.4",".",".","",".","",".","",".",".",".","."
"Senior","","126","3.000","22.2","16.7","30.2","8.7","4.8","9.5","0.8","6.3","0.8",".","",".","",".","",".",".",".","."
"Undergraduates","","538","3.229","30.9","25.7","22.5","6.3","8.0","3.9","0.7","1.9","0.2",".","",".","",".","",".",".",".","."
"Special","","2","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".","",".",".",".","."
"Graduate","","3","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".","",".",".",".","."
"","Dept. Total","543","3.235","31.5","25.4","22.3","6.3","7.9","3.9","0.7","1.8","0.2",".","",".","",".","",".",".",".","."
