"Seminar in Art Education","Course Total","","4","***","","","","","","","","","","","","","","","","","","","","","",""
"","999
059","","2","***","","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
061","","1","***","","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Adv Independent Reading","Course Total","","3","***","","","","","","","","","","","","","","","","","","","","","",""
"ART ED
176","Dept. Total","","90","3.925","83.3","7.8","6.7",".","",".","",".","",".","",".","",".",".","",".","1.1","1.1",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","4","3.875","75.0","25.0",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Senior","","","63","3.913","81.0","9.5","7.9",".","",".","",".","",".","",".","",".",".","",".",".","1.6",".",".","."
"Undergraduates","","","67","3.911","80.6","10.4","7.5",".","",".","",".","",".","",".","",".",".","",".",".","1.5",".",".","."
"Special","","","14","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Graduate","","","9","3.833","77.8",".","11.1",".","",".","",".","",".","",".","",".",".","",".","11.1",".",".",".","."
"","Dept. Total","","90","3.925","83.3","7.8","6.7",".","",".","",".","",".","",".","",".",".","",".","1.1","1.1",".",".","."
