"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"","110
001","16","",".",".",".",".",".",".",".",".",".","68.8","31.3",".",".",".",".","."
"","110
002","16","",".",".",".",".",".",".",".",".",".","75.0","25.0",".",".",".",".","."
"","003
110","15","",".",".",".",".",".",".",".",".",".","86.7","13.3",".",".",".",".","."
"","004
110","18","",".",".",".",".",".",".",".",".",".","66.7","33.3",".",".",".",".","."
"Elementary Programming","Course Total","65","",".",".",".",".",".",".",".",".",".","73.8","26.2",".",".",".",".","."
"","133
001","68","",".",".",".",".",".",".",".",".",".","92.6","5.9",".",".",".","1.5","."
"","133
002","65","",".",".",".",".",".",".",".","1.5",".","92.3","3.1",".",".","3.1",".","."
"","003
133","49","",".",".",".",".",".",".",".",".",".","89.8","10.2",".",".",".",".","."
"","133
004","50","",".",".",".",".",".",".",".",".",".","92.0","6.0",".",".","2.0",".","."
"Intro to Computer Applications","Course Total","232","",".",".",".",".",".",".",".","0.4",".","91.8","6.0",".",".","1.3","0.4","."
"","134
001","205","",".",".",".",".",".",".",".",".",".","89.3","7.3",".",".","3.4",".","."
"","134
002","248","",".",".",".",".",".",".",".",".",".","72.6","23.0",".",".","4.0","0.4","."
"","003
134","260","",".",".",".",".",".",".",".",".",".","68.5","21.9",".",".","9.6",".","."
"Intro-Computer Based Data","Course Total","713","",".",".",".",".",".",".",".",".",".","75.9","18.1",".",".","5.9","0.1","."
"","135
001","159","",".",".",".",".",".",".",".",".",".","90.6","3.1",".",".","5.7",".","0.6"
"","135
002","250","",".",".",".",".",".",".",".",".",".","91.6","2.0",".",".","6.4",".","."
"","003
135","262","",".",".",".",".",".",".",".",".",".","85.1","7.3",".",".","6.9",".","0.8"
"Intro-Word Process,Desktop Pub","Course Total","671","",".",".",".",".",".",".",".",".",".","88.8","4.3",".",".","6.4",".","0.4"
"","136
001","112","",".",".",".",".",".",".",".",".",".","90.2","0.9",".",".","8.9",".","."
"","136
002","176","",".",".",".",".",".",".",".",".",".","79.5","3.4",".",".","15.9","0.6","0.6"
"","136
003","234","",".",".",".",".",".",".",".",".",".","82.5","6.0",".",".","11.5",".","."
"Intro-Web Page","Course Total","522","",".",".",".",".",".",".",".",".",".","83.1","4.0",".",".","12.5","0.2","0.2"
"","001
302","124","2.720","16.9","17.7","21.8","10.5","15.3","2.4","8.9","6.5",".",".",".",".",".",".",".","."
"","302
002","126","2.642","12.7","17.5","23.0","9.5","23.8","5.6","5.6","2.4",".",".",".",".",".",".",".","."
"","302
003","14","2.731","21.4","14.3","7.1","7.1","35.7","7.1",".","7.1",".",".",".",".",".",".",".","."
"","302
004","20","2.875","20.0","10.0","40.0","15.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"","302
006","20","2.900","15.0","25.0","20.0","5.0","35.0",".",".",".",".",".",".",".",".",".",".","."
"","007
302","18","2.806","22.2","16.7","22.2","11.1","16.7","5.6","5.6",".",".",".",".",".",".",".",".","."
"","302
008","20","2.550","10.0","10.0","25.0","10.0","40.0",".","5.0",".",".",".",".",".",".",".",".","."
"","302
010","17","2.676","17.6","17.6","17.6",".","35.3","11.8",".",".",".",".",".",".",".",".",".","."
"","302
011","14","2.385","21.4","14.3","7.1",".","28.6","7.1","14.3","7.1",".",".",".",".",".",".",".","."
"","012
302","14","2.786","35.7","14.3","14.3",".","14.3","14.3","7.1",".",".",".",".",".",".",".",".","."
"","015
302","11","2.350","9.1","18.2","9.1","27.3",".","18.2","9.1","9.1",".",".",".",".",".",".",".","."
"","302
016","20","2.750","15.0","10.0","35.0","5.0","15.0","5.0","5.0","10.0",".",".",".",".",".",".",".","."
"","302
018","10","2.450",".","10.0","50.0",".","30.0",".","10.0",".",".",".",".",".",".",".",".","."
"","020
302","19","2.083","5.3","5.3","15.8","10.5","36.8","10.5","10.5",".",".",".",".",".",".",".",".","5.3"
"","021
302","16","2.719","18.8",".","50.0","6.3","12.5","6.3","6.3",".",".",".",".",".",".",".",".","."
"","029
302","15","2.767","13.3","20.0","13.3","26.7","20.0","6.7",".",".",".",".",".",".",".",".",".","."
"Introduction to Programming","Course Total","478","2.665","15.5","15.5","23.0","9.4","21.5","5.2","6.3","3.3",".",".",".",".",".",".",".","0.2"
"Prob Solvng Using Computers","001
310","275","2.929","10.2","12.7","50.2","14.5","8.7","2.2","1.1","0.4",".",".",".",".",".",".",".","."
"Digital System Fundamentals","352
001","78","2.750","24.4","6.4","23.1","15.4","23.1","1.3","6.4",".",".",".",".",".",".",".",".","."
"","354
001","59","2.653","20.3","16.9","28.8","1.7","11.9","10.2","10.2",".",".",".",".",".",".",".",".","."
"","002
354","63","2.579","17.5","11.1","27.0","9.5","19.0","6.3","9.5",".",".",".",".",".",".",".",".","."
"","354
003","39","2.782","25.6","20.5","15.4","7.7","12.8","12.8","5.1",".",".",".",".",".",".",".",".","."
