"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"HEC","","","","","","","","","","","","","","","","","","","",""
"CONSUMER SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","","",""
"Consumer Finance","275","001","107","3.129","24.3","28.0","20.6","12.1","7.5","4.7","0.9","1.9",".",".",".",".",".",".",".","."
"Mediatn:Serving Consumr Int","350","001","52","3.750","63.5","28.8","3.8","1.9","1.9",".",".",".",".",".",".",".",".",".",".","."
"Retailing Theory & Practice","357","001","25","3.720","60.0","24.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comp Applicatns-Retailing","370","001","24","3.208","12.5","25.0","58.3",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Hist-Consumr Movemnts in US","470","001","32","3.063","6.3","21.9","53.1","15.6","3.1",".",".",".",".",".",".",".",".",".",".","."
"","475","001","35","3.143","5.7","45.7","31.4","11.4","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"","475","002","31","3.306","29.0","25.8","29.0","9.7","6.5",".",".",".",".",".",".",".",".",".",".","."
"Family Economics","","Course Total","66","3.220","16.7","36.4","30.3","10.6","4.5","1.5",".",".",".",".",".",".",".",".",".","."
"","477","001","37","3.149","8.1","40.5","29.7","16.2","5.4",".",".",".",".",".",".",".",".",".",".","."
"","477","002","38","3.776","76.3","10.5","7.9","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","","Course Total","75","3.467","42.7","25.3","18.7","9.3","4.0",".",".",".",".",".",".",".",".",".",".","."
"Consumer Information","478","001","47","3.968","93.6","6.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prep for Retailng Internshp","503","001","16","3.656","37.5","56.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","532","001","23","3.630","39.1","47.8","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"International Retailing","562","001","39","3.038","17.9","23.1","23.1","20.5","15.4",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Consumer Science","565","001","18","3.472","38.9","27.8","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Family Econ & Public Policy","575","001","27","3.352","11.1","48.1","40.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601","015","18","3.870","72.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Experience-Retailing","602","015","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Retailing Internship","603","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Consumer Behavior","657","001","35","3.571","45.7","34.3","14.3",".","5.7",".",".",".",".",".",".",".",".",".",".","."
"Household Risk Management","665","001","32","3.328","18.8","37.5","37.5","3.1","3.1",".",".",".",".",".",".",".",".",".",".","."
"","699","005","20","3.667","45.0","35.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","699","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","23","3.694","47.8","34.8","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","990","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","075","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","9","",".",".",".",".",".",".",".","88.9",".",".",".","11.1",".",".",".","."
"","999","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
