"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Trial Advocacy","Course Total","56","3.702","37.5","25.0","8.9",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"","854
001","38","",".",".",".",".",".",".",".","97.4",".",".",".",".","2.6",".",".","."
"","854
002","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
003","12","3.758","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","854
004","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
006","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
008","17","3.796","76.5",".","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","854
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
010","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Program","Course Total","117","3.776","18.8","0.9","5.1",".",".",".",".","74.4",".",".",".",".","0.9",".",".","."
"Advanced Criminal Procedure","860
001","7","3.846","71.4",".","14.3",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Institutionalized Persons","862
001","48","",".",".",".",".",".",".",".","97.9",".",".",".",".","2.1",".",".","."
"LAIP Seminar","866
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"International Tax","870
001","6","3.500","50.0","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Iss: N Amer & E Asia","872
001","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wis Environmntl Law Journal","894
001","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Wisconsin Internl Law Journ","895
001","88","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Womens Law Journal","896
001","31","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Law Review","899
001","70","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Juvenile Justice Adm","902
001","14","3.571","28.6","28.6","21.4",".",".",".",".","14.3",".",".",".",".","7.1",".",".","."
"","904
001","15","3.917","66.7","13.3",".",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"","904
002","25","3.595","20.0","28.0","12.0",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"","904
003","21","3.667","28.6","33.3","4.8",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Constitutional Law Seminar","Course Total","61","3.723","34.4","26.2","6.6",".",".",".",".","27.9",".",".",".",".","4.9",".",".","."
"Law, Sci & Biotechnolgy Smr","906
001","19","3.694","47.4","36.8","10.5",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Securities Regulation","914
001","33","3.614","45.5","3.0","15.2",".",".","3.0",".","33.3",".",".",".",".",".",".",".","."
"Probs-Criminal Justice Adm","915
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Law & Admin Seminar","935
001","16","3.719","56.3","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
002","13","3.385","23.1","30.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
003","17","3.781","64.7","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".","5.9","."
"","940
004","11","3.500","36.4","27.3","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
005","31","3.742","58.1","32.3","9.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
006","24","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
008","19","",".",".",".",".",".",".",".","94.7",".",".",".",".",".",".","5.3","."
"","009
940","34","3.984","88.2","2.9",".",".",".",".",".","8.8",".",".",".",".",".",".",".","."
"","010
940","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","940
011","27","3.185","11.1","22.2","59.3","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"","940
012","31","3.710","54.8","32.3","12.9",".",".",".",".",".",".",".",".",".",".",".",".","."
