"REHAB PSYCH & SPECIAL EDU","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"300","001","","91","3.806","64.8","29.7","4.4",".",".",".",".",".",".",".",".",".","1.1",".",".","."
"300","002","","101","3.733","66.3","15.8","15.8","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"Individls with Disabilities","Course Total","","192","3.767","65.6","22.4","10.4","1.0",".",".",".",".",".",".",".",".","0.5",".",".","."
"330
Behav Anal:Person-Disabilty","001","","33","3.864","75.8","21.2","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"470
Indiv/Learn & Behav Disability","001","","32","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"471
Meth&Curric:Lrn&Bhv Disabl,K-9","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"472
Mth&Curric:Lrn&Bhv Dis, 6-12","003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"474","001","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"474","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"474","003","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diagnosis&Assessmt:Lrn&Bhv","Course Total","","32","3.922","84.4","15.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"475","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"475","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract: Stdts/Lrn&Bhv Dis, K-9","Course Total","","3","***","","","","","","","","","","","","","","","",""
"476","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"476","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract:Stdts/Lrn&Bhv Dis, 6-12","Course Total","","2","***","","","","","","","","","","","","","","","",""
"477","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"477","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"477","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach: Lrn&Bhv Dis, K-9","Course Total","","3","***","","","","","","","","","","","","","","","",""
"478","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"478","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"478","003","","10","3.796","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Teach:Lrn & Bhv Dis, 6-12","Course Total","","23","3.912","91.3",".","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"501
Rehab-Cnslg Psych: Applcatn","001","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"506
Strategy-Inclusive Schoolng","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"550
Rehab Psych-Medical Aspects","001","","15","3.538","46.7","20.0","6.7","6.7","6.7",".",".","6.7",".",".",".",".","6.7",".",".","."
"630","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"630","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"630","018","","25","3.906","80.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","","30","3.920","83.3","13.3","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"660","003","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"660","004","","10","3.833","70.0","10.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","19","3.917","84.2","5.3","5.3",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"690","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"699","004","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 80 of 385"
