"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"BSE","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","5","3.300",".","80.0",".","20.0",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","20","2.966","25.0","15.0","30.0","10.0","5.0","10.0",".",".","",".",".","",".",".","",".",".","5.0","."
"Senior","","89","3.074","31.5","23.6","16.9","9.0","10.1","6.7","1.1","1.1","",".",".","",".",".","",".",".",".","."
"Undergraduates","","116","3.074","28.4","25.9","18.1","9.5","8.6","6.9","0.9","0.9","",".",".","",".",".","",".",".","0.9","."
"Special","","3","3.700","33.3","66.7",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","30","3.692","33.3","10.0","3.3","3.3",".",".",".","20.0","",".",".","",".","30.0","",".",".",".","."
"","Dept. Total","149","3.163","29.5","23.5","14.8","8.1","6.7","5.4","0.7","4.7","",".",".","",".","6.0","",".",".","0.7","."
