"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"BMOLCHEM","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Junior","46","3.048","37.0","8.7","28.3","2.2","17.4","6.5",".",".","",".",".","",".",".","",".",".",".","."
"Senior","161","3.209","43.5","13.0","23.6","6.2","7.5","3.1","3.1",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","208","3.176","42.3","12.0","24.5","5.3","9.6","3.8","2.4",".","",".",".","",".",".","",".",".",".","."
"Special","5","3.769","80.0",".","20.0",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","145","3.489","10.3","4.1","2.1","0.7","0.7",".",".","74.5","",".",".","",".","7.6","",".",".",".","."
"Prof Yr 1","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
