"ART HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","","",""
"Study of Art, Present&Past","101","001","103","3.583","47.6","30.1","13.6","5.8","1.9",".",".","1.0",".",".",".",".",".",".",".","."
"Ancient and Medieval Art","201","001","146","3.115","26.0","17.1","28.8","9.6","13.0","2.7",".","1.4",".",".",".",".",".","1.4",".","."
"Renaissance to Modern Art","202","001","240","3.301","31.3","29.6","22.5","5.4","4.2","2.5","1.7","1.7",".",".",".",".",".","1.3",".","."
"Bascom Colloquium-Art History","236","001","18","3.250","5.6","44.4","44.4","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Pnt&Graphc-German 1350-1530","330","001","22","3.670","54.5",".","9.1","4.5","4.5",".",".","22.7",".",".",".",".",".",".","4.5","."
"Netherlandish Painting-17c","333","001","21","3.412","38.1","23.8","19.0","4.8","9.5",".",".",".",".",".",".",".",".",".","4.8","."
"Italian Baroque Art","341","001","27","3.190","11.1","22.2","29.6","3.7","7.4",".",".","22.2",".",".",".",".","3.7",".",".","."
"19th C Painting in Europe","350","001","58","3.241","19.0","39.7","20.7","13.8","3.4",".","1.7","1.7",".",".",".",".",".",".",".","."
"20th Century Women Artists","353","001","60","3.565","33.3","43.3","10.0","1.7","3.3",".",".","3.3",".",".",".",".",".","3.3","1.7","."
"European Arch:19th Century","357","001","73","3.535","45.2","28.8","15.1","1.4","2.7","2.7",".","1.4",".",".",".",".","1.4",".",".","1.4"
"Hist of Amer Art, 1607-Present","364","001","28","3.627","42.9","25.0","10.7","7.1",".",".",".",".","3.6",".",".",".",".",".","10.7","."
"Arts of China","370","001","40","3.004","15.0","20.0","30.0","10.0","10.0","2.5","2.5","10.0",".",".",".",".",".",".",".","."
"Topics in Twentieth-Cent Art","408","001","26","3.476","42.3","26.9","15.4",".","3.8","3.8",".",".",".",".",".",".",".","3.8",".","3.8"
"Buddhist Iconography","423","001","46","3.125","6.5","32.6","39.1","13.0","4.3",".",".","2.2",".",".",".",".",".","2.2",".","."
"Proseminar in Ancient Art","505","001","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosem-Amer Architecture","567","001","14","3.577","28.6","50.0","14.3",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Proseminar in Chinese Art","576","001","7","3.214","14.3","28.6","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","600","001","20","3.194","25.0","35.0","5.0","20.0",".",".","5.0","10.0",".",".",".",".",".",".",".","."
"","600","002","11","3.850","72.7","9.1","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Special Topics-Art History","","Course Total","31","3.429","41.9","25.8","6.5","12.9",".",".","3.2","9.7",".",".",".",".",".",".",".","."
"","682","003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","5","***","","","","","","","","","","","","","","","",""
"","699","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
"","799","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","018","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","10","3.845","90.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Japanese Art","875","001","10","3.350","60.0","10.0","20.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"","990","006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","8","",".",".",".",".",".",".",".","12.5","12.5",".",".","75.0",".",".",".","."
"","990","014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","19","",".",".",".",".",".",".",".","15.8","5.3",".",".","78.9",".",".",".","."
