"PHYSICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","",""
"General Physics","103","001","291","3.268","21.6","32.6","30.9","11.3","2.4",".","1.0",".",".",".",".",".",".",".",".","."
"","104","001","279","2.969","16.8","20.4","26.2","20.1","11.8","3.6","0.4","0.4",".",".",".",".",".","0.4",".","."
"","104","002","160","2.918","17.5","18.1","22.5","18.1","20.6","2.5",".","0.6",".",".",".",".",".",".",".","."
"General Physics","","Course Total","439","2.951","17.1","19.6","24.8","19.4","15.0","3.2","0.2","0.5",".",".",".",".",".","0.2",".","."
"Ideas of Modern Physics","107","001","154","3.120","31.2","9.1","37.7","4.5","14.3","2.6","0.6",".",".",".",".",".",".",".",".","."
"","109","001","92","3.258","30.4","23.9","25.0","9.8","7.6","2.2",".",".","1.1",".",".",".",".",".",".","."
"","109","002","90","3.309","36.7","22.2","24.4","3.3","8.9","3.3",".",".",".",".",".",".",".","1.1",".","."
"Physics in the Arts","","Course Total","182","3.283","33.5","23.1","24.7","6.6","8.2","2.7",".",".","0.5",".",".",".",".","0.5",".","."
"Energy","115","001","15","3.384","33.3","13.3","40.0","6.7",".",".",".",".",".",".",".",".","6.7",".",".","."
"","201","001","158","2.877","17.7","17.7","13.3","28.5","21.5","0.6","0.6",".",".",".",".",".",".",".",".","."
"","201","002","124","3.012","27.4","16.1","18.5","15.3","20.2","0.8","1.6",".",".",".",".",".",".",".",".","."
"General Physics","","Course Total","282","2.936","22.0","17.0","15.6","22.7","20.9","0.7","1.1",".",".",".",".",".",".",".",".","."
"","202","001","180","2.953","19.4","15.0","28.9","20.0","12.2","2.2","1.7",".",".",".",".",".","0.6",".",".","."
"","202","002","208","2.990","17.3","20.2","25.5","18.3","17.3","1.0",".",".",".",".",".",".","0.5",".",".","."
"General Physics","","Course Total","388","2.973","18.3","17.8","27.1","19.1","14.9","1.5","0.8",".",".",".",".",".","0.5",".",".","."
"Mod Physics for Engineers","205","001","33","2.682","18.2","18.2","15.2","9.1","30.3","3.0","6.1",".",".",".",".",".",".",".",".","."
"General Physics","207","001","134","3.098","25.4","17.2","29.9","11.2","13.4","1.5","0.7","0.7",".",".",".",".",".",".",".","."
"General Physics","208","001","144","2.813","18.1","18.1","18.1","18.1","18.8","9.0",".",".",".",".",".",".",".",".",".","."
"Intro to Modern Physics","241","001","34","2.926","17.6","14.7","35.3","11.8","17.6",".","2.9",".",".",".",".",".",".",".",".","."
"Modern Physics","244","001","71","2.821","12.7","16.9","26.8","18.3","19.7","2.8","1.4","1.4",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","248","001","23","3.435","43.5","8.7","39.1","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Medical Physics","265","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Physics Today","301","001","14","3.962","85.7","7.1",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","308","001","7","2.857","14.3","14.3","42.9","14.3",".","14.3",".",".",".",".",".",".",".",".",".","."
"","308","002","6","3.167","16.7","16.7","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","308","004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Lab-Electromag","","Course Total","17","3.029","11.8","17.6","52.9","11.8",".","5.9",".",".",".",".",".",".",".",".",".","."
"Mechanics","311","001","22","3.024","22.7","22.7","22.7",".","22.7","4.5",".",".",".",".",".",".",".","4.5",".","."
"Electromagnetic Fields","322","001","23","2.909","26.1","17.4","26.1",".","8.7","17.4",".",".",".",".",".",".",".","4.3",".","."
"Wave Motion and Optics","325","001","12","3.333","41.7","16.7","25.0",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Acoustics for Musicians","371","001","22","3.167","22.7","36.4","13.6",".",".",".","9.1","18.2",".",".",".",".",".",".",".","."
"Advanced Laboratory","407","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thermal Physics","415","001","16","3.031","12.5","6.3","75.0",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"Atomic and Quantum Physics","449","001","27","3.019","25.9","14.8","29.6","11.1","11.1","7.4",".",".",".",".",".",".",".",".",".","."
"Sci Bckgrnd-Globl Envr Prob","472","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","498","061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499","097","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499","098","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Graduate Laboratory","507","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Classical Physics","522","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Plasmas","525","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 270 of 385",""
