"GEOGRAPHY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"602","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"602","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","9","",".",".",".",".",".",".",".",".",".","88.9",".",".",".",".",".","."
"681","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"682","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"698
Directed Study","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"766
Geog Inquiry&Anal:Technique","001","","15","3.792","60.0","33.3",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"799","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","3","***","","","","","","","","","","","","","","","",""
"900
Seminar in Geography","001","","14","3.875","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Seminar-Cultural Geography","001","","9","4.000","77.8",".",".",".",".",".",".","11.1",".",".",".",".","11.1",".",".","."
"920
Smr-Physical Geography","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"930
Smr-People/Environment Geog","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","6","",".",".",".",".",".",".",".","16.7",".",".",".","83.3",".",".",".","."
"990","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","099","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","46","",".",".",".",".",".",".",".","52.2",".",".",".","45.7","2.2",".",".","."
"999","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 213 of 385",""
