"","990
011","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","11","",".",".",".",".",".",".",".","81.8",".",".",".","18.2",".",".",".","."
"Independent Work","999
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"COMP LIT
260","Dept. Total","437","3.488","27.2","50.1","14.9","2.1","0.5","0.9","0.7","2.5",".",".",".","0.5","0.7",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"260
COMP LIT","","","","","","","","","","","","","","","","","","",""
"Freshmen","","153","3.377","19.0","52.9","20.9","4.6","0.7","1.3","0.7",".",".",".",".",".",".",".",".","."
"Sophomore","","141","3.456","20.6","61.7","14.2",".","0.7","0.7","1.4",".",".",".",".",".","0.7",".",".","."
"Junior","","54","3.555","31.5","57.4","7.4","1.9",".","1.9",".",".",".",".",".",".",".",".",".","."
"Senior","","39","3.624","43.6","30.8","15.4","2.6",".",".",".","5.1",".",".",".",".","2.6",".",".","."
"Undergraduates","","387","3.455","23.8","54.5","16.0","2.3","0.5","1.0","0.8","0.5",".",".",".",".","0.5",".",".","."
"Special","","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate","","49","3.839","55.1","16.3","4.1",".",".",".",".","18.4",".",".",".","4.1","2.0",".",".","."
"","Dept. Total","437","3.488","27.2","50.1","14.9","2.1","0.5","0.9","0.7","2.5",".",".",".","0.5","0.7",".",".","."
