"","990
058","1","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
059","2","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
061","1","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"Research and Thesis","Course Total","34","",".",".",".",".","",".","",".","",".","91.2",".",".",".","8.8","",".",".",".","."
"NEUROSCI
682","Dept. Total","106","3.734","29.2","14.2","2.8",".","",".","",".","",".","50.9",".",".",".","2.8","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"682
NEUROSCI","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","3.833","66.7","33.3",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Junior","","3","3.875","66.7","33.3",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Senior","","22","3.636","50.0","31.8","13.6",".","",".","",".","",".","4.5",".",".",".",".","",".",".",".","."
"Undergraduates","","28","3.661","53.6","32.1","10.7",".","",".","",".","",".","3.6",".",".",".",".","",".",".",".","."
"Special","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"Graduate","","77","3.808","20.8","7.8",".",".","",".","",".","",".","67.5",".",".",".","3.9","",".",".",".","."
"","Dept. Total","106","3.734","29.2","14.2","2.8",".","",".","",".","",".","50.9",".",".",".","2.8","",".",".",".","."
