"EDU","","","","","","","","","","","","","","","","","","",""
"CURRICULUM AND INSTRUCTIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"","368
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","368
002","24","3.604","62.5","16.7","4.2","12.5","4.2",".",".",".",".",".",".",".",".",".",".","."
"","368
003","24","3.583","66.7","8.3","4.2","16.7","4.2",".",".",".",".",".",".",".",".",".",".","."
"Tchg Rdg:Preschl-Middl Schl","Course Total","72","3.729","76.4","8.3","2.8","9.7","2.8",".",".",".",".",".",".",".",".",".",".","."
"","369
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
369","24","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
369","24","3.833","79.2","12.5","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Lang Art:Pre-Middl Sch","Course Total","72","3.903","87.5","6.9","4.2","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"","370
001","25","3.771","84.0","4.0","4.0",".",".",".","4.0",".",".",".",".",".","4.0",".",".","."
"","370
002","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
370","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
370","23","3.841","65.2","30.4",".",".",".",".",".",".",".",".",".",".",".",".",".","4.3"
"Teach Math:Preschl-Mid Schl","Course Total","100","3.903","87.0","9.0","1.0",".",".",".","1.0",".",".",".",".",".","1.0",".",".","1.0"
"","371
001","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
371","26","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
003","26","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Soc St:Pre-Middle Schl","Course Total","76","3.934","89.5","7.9","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
001","24","3.521","12.5","79.2","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
002","26","3.865","80.8","11.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
003","26","3.365","61.5","3.8","15.4",".","11.5","7.7",".",".",".",".",".",".",".",".",".","."
"Tchg Sci:Preschl-Middl Schl","Course Total","76","3.586","52.6","30.3","10.5",".","3.9","2.6",".",".",".",".",".",".",".",".",".","."
"","373
001","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
002","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
003","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
004","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Prac-Math,Sci,SocSt:Pre-Mid","Course Total","76","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Pract: Rdg & Math-Elem Schl","374
001","16","",".",".",".",".",".",".",".",".",".","93.8",".",".",".",".",".","6.3"
"","375
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","23","3.630","26.1","73.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","20","3.974","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
375","42","3.992","95.2","2.4",".",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"","375
005","12","",".",".",".",".",".",".",".","50.0","50.0",".",".",".",".",".",".","."
"Proseminar","Course Total","105","3.883","68.6","19.0",".",".",".",".",".","6.7","5.7",".",".",".",".",".",".","."
"Teach Secondry Schl Math II","394
001","12","3.667","66.7","8.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Technol-Secondary Schl Math","395
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","399
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Tchg Child Lit-Elem & Middl","001
422","64","3.913","92.2","4.7",".",".",".",".","1.6","1.6",".",".",".",".",".",".",".","."
"Concrn&Constrnt-Tch Yng Chl","425
001","24","3.938","95.8",".",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Young Adult Lit for Schools","431
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Teach-Sec Schl French","446
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach-Sec Schl German","447
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Student Teaching in Latin","455
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","456
001","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
