"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"250
Intro to Modern Materials","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"330
Thermodynamics of Materials","001","","29","2.707","17.2","13.8","31.0","10.3","13.8","6.9","6.9",".",".",".",".",".",".",".",".","."
"331
Transport Phenom-Materials","001","","15","3.267","26.7","26.7","20.0","26.7",".",".",".",".",".",".",".",".",".",".",".","."
"333
Microprocessing-Materials","001","","16","3.313","31.3","18.8","37.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"350
Intro to Materials Science","001","","144","3.236","26.4","19.4","39.6","6.9","6.3","1.4",".",".",".",".",".",".",".",".",".","."
"352
Transformation of Solids","001","","36","3.139","30.6","22.2","27.8","5.6","5.6","5.6","2.8",".",".",".",".",".",".",".",".","."
"360","001","","6","3.300","33.3",".","33.3","16.7",".",".",".",".",".",".",".",".",".","16.7",".","."
"360","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Materials Laboratory I","Course Total","","11","3.200","27.3","9.1","36.4","9.1","9.1",".",".",".",".",".",".",".",".","9.1",".","."
"361
Materials Laboratory II","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"371
Mat Sci&Engr Prob Solvng II","001","","15","3.733","46.7","53.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"390
Materials Sys&Desgn Proj II","001","","12","3.625","50.0","33.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"434
Intro Thin-Film Deposition","001","","9","3.688","55.6","11.1","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"441
Deformation of Solids","001","","25","3.520","40.0","36.0","16.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"445
Multicomponent Phase Equil","001","","8","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"544
Processing-Electronic Matls","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","11","3.654","90.9",".",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"748
Structural Anal of Matrial","001","","11","3.500","27.3","45.5","9.1","9.1",".",".",".","9.1",".",".",".",".",".",".",".","."
"790","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","030","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","13","",".",".",".",".",".",".",".","46.2",".",".",".","53.8",".",".",".","."
"801
Topics-Physical Metallurgy","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"803","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"803","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"803","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"803","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Materials Sci","Course Total","","16","4.000","81.3",".",".",".",".",".",".","18.8",".",".",".",".",".",".",".","."
"890","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 138 of 385",""
