"L&S","","","","","","","","","","","","","","","","","","",""
"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","311
003","23","3.630","47.8","34.8","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","311
004","24","3.125","20.8","16.7","41.7","8.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"","311
005","22","2.977","22.7","9.1","31.8","13.6","22.7",".",".",".",".",".",".",".",".",".",".","."
"","311
006","25","3.500","28.0","40.0","28.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"Advanced Language Practice","Course Total","138","3.292","27.5","27.5","30.4","5.8","6.5","1.4",".","0.7",".",".",".",".",".",".",".","."
"","320
001","26","3.308","30.8","26.9","26.9","3.8","11.5",".",".",".",".",".",".",".",".",".",".","."
"","002
320","24","2.979","29.2","12.5","29.2",".","25.0",".","4.2",".",".",".",".",".",".",".",".","."
"Spanish Phonetics","Course Total","50","3.150","30.0","20.0","28.0","2.0","18.0",".","2.0",".",".",".",".",".",".",".",".","."
"","322
001","22","3.659","50.0","31.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","22","3.045","22.7","22.7","22.7","13.6","13.6","4.5",".",".",".",".",".",".",".",".",".","."
"Survey of Early Hispanic Lit","Course Total","44","3.352","36.4","27.3","20.5","6.8","6.8","2.3",".",".",".",".",".",".",".",".",".","."
"Adv Lang Prac-Expos Writing","001
323","26","3.538","42.3","30.8","19.2","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Modern Spanish Lit","324
001","26","3.365","34.6","23.1","23.1","19.2",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Spanish American Lit","326
001","23","2.848","26.1","8.7","13.0","21.7","26.1","4.3",".",".",".",".",".",".",".",".",".","."
"Appl Linguistics-Teachers","343
001","18","3.361","55.6","5.6","22.2",".","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"Spanish Amer Civilization","363
001","34","3.731","50.0","44.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Survey-Spanish Lit","412
001","16","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Medieval Lit","422
001","14","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit&Film in Spanish America","465
001","24","3.461","54.2","20.8","12.5",".","4.2","8.3",".",".",".",".",".",".",".",".",".","."
"Surv-Span Am Lit:Disc-Modrn","501
001","19","3.842","68.4","31.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literatura del Siglo de Oro","513
001","20","3.453","35.0","35.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Lit Espanola Del Siglo XX","001
515","28","3.433","42.9","25.0","17.9","7.1","3.6","3.6",".",".",".",".",".",".",".",".",".","."
"","516
000A","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","516
001","25","3.454","28.0","36.0","36.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literatura Hispanoamericana","Course Total","27","3.478","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Spanish Lit","517
000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Hispanic Culture","520
001","30","3.546","46.7","16.7","36.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist-Teoria Lit: C XIX-XX","628
001","22","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","6","3.909","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Golden Age Prose","754
001","7","3.429","85.7",".",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Smr-Spanish American Lit","802
001","13","3.542","61.5","23.1",".",".",".",".","7.7","7.7",".",".",".",".",".",".",".","."
"","899
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","899
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","899
020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","899
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","899
047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 301 of 385",""
