"MILITARY SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"644
MIL SCI","","","","","","","","","","","","","","","","","","","",""
"","102
001","","8","3.714","37.5","50.0",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","102
002","","18","3.529","27.8","44.4","22.2",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","102
003","","14","3.357","28.6","57.1","7.1",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Intro to Military Leadershp","Course Total","","40","3.500","30.0","50.0","12.5",".",".",".","2.5","2.5",".",".",".",".","2.5",".",".","."
"Marksmanship","150
001","","13","3.917","84.6",".","7.7",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Orienteering","194
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","202
001","","12","2.500","16.7","8.3","25.0","16.7","8.3",".","16.7",".",".",".",".",".",".",".","8.3","."
"","002
202","","18","3.361","38.9","22.2","16.7","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"","003
202","","15","3.400","33.3","40.0","6.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"Fundamntls-Military Tactics","Course Total","","45","3.159","31.1","24.4","15.6","15.6","6.7",".","4.4",".",".",".",".",".",".",".","2.2","."
"Advanced Military Tactics","332
001","","11","3.682","54.5","36.4",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Leadship,Mgmt&Legl Oper","442
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"American Military History","491
001","","8","3.929","75.0","12.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"MIL SCI
644","Dept. Total","","127","3.482","45.7","28.3","10.2","6.3","2.4",".","2.4","2.4",".",".",".",".","0.8",".","1.6","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"644
MIL SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","39","3.017","17.9","35.9","23.1","12.8","5.1",".","5.1",".",".",".",".",".",".",".",".","."
"Sophomore","","","47","3.493","48.9","31.9","6.4","4.3","2.1",".","2.1","2.1",".",".",".",".","2.1",".",".","."
"Junior","","","17","3.655","52.9","29.4","5.9","5.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"Senior","","","21","3.966","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","","124","3.482","46.8","29.0","10.5","6.5","2.4",".","2.4","1.6",".",".",".",".","0.8",".",".","."
"Special","","","3","",".",".",".",".",".",".",".","33.3",".",".",".",".",".",".","66.7","."
"","Dept. Total","","127","3.482","45.7","28.3","10.2","6.3","2.4",".","2.4","2.4",".",".",".",".","0.8",".","1.6","."
