"AGRICULTURAL AND APPLIED E Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","","",""
"","215","001","","50","3.120","36.0","14.0","24.0","6.0","14.0","4.0","2.0",".",".",".",".",".",".",".",".","."
"","215","002","","94","3.141","28.7","21.3","22.3","10.6","11.7","1.1","2.1",".",".",".",".",".",".","2.1",".","."
"Intro to Agr & Applied Econ","","Course Total","","144","3.134","31.3","18.8","22.9","9.0","12.5","2.1","2.1",".",".",".",".",".",".","1.4",".","."
"","299","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","064","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","306","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Farming Systems Management","320","001","","19","3.526","42.1","21.1","36.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Commodity Markets","322","001","","47","2.553","8.5","4.3","29.8","21.3","29.8","4.3","2.1",".",".",".",".",".",".",".",".","."
"Agric & Natrl Resources Law","336","001","","21","3.048","23.8","9.5","42.9","19.0",".",".","4.8",".",".",".",".",".",".",".",".","."
"Issues in Food Systems","340","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Environment&Global Economy","344","001","","20","2.816","20.0","20.0","5.0","15.0","30.0","5.0",".","5.0",".",".",".",".",".",".",".","."
"World Hunger & Malnutrition","350","001","","26","3.860","80.8","7.7","3.8","3.8",".",".",".",".",".",".",".",".",".",".","3.8","."
"Coord Intrnshp/Cooprtv Educ","399","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Production Economics","420","001","","15","3.167","20.0","33.3","20.0","13.3","13.3",".",".",".",".",".",".",".",".",".",".","."
"Econ Analysis-Agric Markets","421","001","","16","3.000","50.0",".","6.3","12.5","12.5","6.3","6.3",".",".",".",".",".","6.3",".",".","."
"Econ Grwth&Devlpmnt-SE Asia","473","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Econ Probs-Developing Areas","474","001","","18","3.222","22.2","38.9","11.1","16.7","11.1",".",".",".",".",".",".",".",".",".",".","."
"Community Economic Analysis","520","001","","6","3.583","16.7","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Agri Bus & Tax Planning","536","001","","17","3.059","17.6","5.9","47.1","29.4",".",".",".",".",".",".",".",".",".",".",".","."
"Pub Finance-Less Dev Cntry","567","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","575","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Econometric Anal","636","001","","14","3.417","14.3","42.9","28.6",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Energy Economics","671","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","064","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","12","3.975","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Microeconomics","705","001","","19","3.737","47.4","52.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Institutional Economics","707","001","","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Macroeconomics-Ag Developmt","731","001","","6","3.750","50.0",".","16.7",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"Benefit-Cost Analysis","881","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","059","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","063","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","074","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","079","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
