"ENVIR ST - GAYLORD NELSON I","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"472
Sci Bckgrnd-Globl Envr Prob","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"515
Renewable Resources Policy","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"523
Philos Prblms-Biol Sciences","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"528
Past Climates&Climatic Chg","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"537
Culture and Environment","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"556
Remote Sensing Digitl Image","001","","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"600","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","002","","21","4.000","90.5",".",".",".",".",".",".",".",".",".",".",".",".","9.5",".","."
"Envir Studies Cert Seminar","Course Total","","36","4.000","94.4",".",".",".",".",".",".",".",".",".",".",".",".","5.6",".","."
"651
Conservation Biology","001","","13","3.231","61.5","15.4","7.7",".",".",".","15.4",".",".",".",".",".",".",".",".","."
"652
Decisn Meth-Nat Resrc Mangr","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"655
Computerzd Land Info Systms","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"671
Energy Economics","001","","9","3.500","44.4","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"679
Computational Aspects of GIS","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","17","3.871","82.4",".",".",".","5.9",".",".",".",".",".",".",".","5.9",".",".","5.9"
"718
Water Res Mgt Pract Pl Smr","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"761
Colloquium in Air Pollution","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"766
Envr Monitorng Practicum II","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"810
Energy Analysis Seminar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"881
Benefit-Cost Analysis","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900","004","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar","Course Total","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"950
Envr Monitoring Seminar","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 154 of 385",""
