"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"The Real Estate Process","306
001","184","3.147","13.6","24.5","47.3","5.4","5.4","1.6",".","1.6",".",".",".",".","0.5",".",".","."
"Real Estate Law","312
001","41","3.110","24.4","22.0","24.4","14.6","12.2","2.4",".",".",".",".",".",".",".",".",".","."
"","399
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
091","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","Course Total","3","***","","","","","","","","","","","","","","","",""
"","001
415","55","3.065","7.3","21.8","45.5","23.6",".",".",".","1.8",".",".",".",".",".",".",".","."
"","415
002","40","3.275","25.0","27.5","25.0","22.5",".",".",".",".",".",".",".",".",".",".",".","."
"Valuation of Real Estate","Course Total","95","3.154","14.7","24.2","36.8","23.2",".",".",".","1.1",".",".",".",".",".",".",".","."
"International Real Estate","430
001","15","3.750","60.0","20.0","13.3",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","611
001","106","3.693","58.5","27.4","11.3","1.9",".","0.9",".",".",".",".",".",".",".",".",".","."
"Cmptr Appl-Real Estate Anal","631
001","24","3.906","54.2","12.5",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"The Real Estate Process","706
001","20","3.471","20.0","40.0","25.0",".",".",".",".","10.0",".",".",".",".",".","5.0",".","."
"Real Estate Law","712
001","12","3.708","66.7","8.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Urban Economics","720
001","29","3.625","48.3","24.1","24.1",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"International Real Estate","730
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Real Estate Equity Investmt","740
001","29","3.786","75.9",".","20.7",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"Contemporary Topics","765
001","27","3.685","51.9","33.3","14.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
083","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
116","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","Course Total","2","***","","","","","","","","","","","","","","","",""
"Smr-Urban Land Econ PhD","978
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Real Estate","990
097","1","***","","","","","","","","","",".",".",".",".",".",".","."
"REAL EST
239","Dept. Total","593","3.385","33.6","23.3","28.8","6.7","2.5","0.8","0.2","3.4",".",".",".",".","0.5","0.2",".","."
