"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","30","3.883","76.7","23.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
001","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
002","14","3.714","50.0","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
003","17","3.618","58.8","29.4","5.9",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"","170
004","14","3.714","50.0","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
170","16","3.750","56.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
006","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
007","13","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
008","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Laboratory","Course Total","120","3.758","61.7","31.7","5.8",".",".","0.8",".",".",".",".",".",".",".",".",".","."
"","220
001","64","2.359","12.5","10.9","12.5","23.4","18.8","14.1","7.8",".",".",".",".",".",".",".",".","."
"","220
002","47","2.564","10.6","19.1","21.3","17.0","14.9","10.6","6.4",".",".",".",".",".",".",".",".","."
"Electrodynamics I","Course Total","111","2.446","11.7","14.4","16.2","20.7","17.1","12.6","7.2",".",".",".",".",".",".",".",".","."
"Circuit Analysis","230
001","113","2.628","15.0","18.6","17.7","16.8","15.9","10.6","5.3",".",".",".",".",".",".",".",".","."
"","270
001","13","3.500","53.8","15.4","7.7","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"","270
002","11","3.636","72.7","18.2",".",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"","270
003","15","3.367","26.7","20.0","53.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
004","14","3.179","21.4","28.6","21.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".","."
"","270
006","12","3.333","41.7","8.3","33.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","270
007","11","3.455","36.4","27.3","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","008
270","15","3.533","53.3","13.3","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","91","3.423","42.9","18.7","25.3","8.8","3.3","1.1",".",".",".",".",".",".",".",".",".","."
"","271
001","10","3.800","80.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","004
271","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
271","15","3.800","73.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
006","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","46","3.826","76.1","15.2","6.5","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Trans Lines & Netwks Lab","301
001","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electric Machines Lab","304
001","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Semiconductr Properties Lab","Course Total","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Active Circuits Lab","306
001","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
003","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","34","3.912","85.3","11.8","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
315","12","3.542","33.3","41.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
315","13","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
004","10","3.550","50.0","10.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","44","3.580","40.9","34.1","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sensors Laboratory","317
001","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics II","320
001","49","2.729","12.2","24.5","14.3","20.4","14.3","10.2","2.0","2.0",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 117 of 385",""
