"First Yr Cen Asian Lang II","332
001","","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Intensive Kazakh II","366
001","","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Adv Readng-Turkic Languages","550
001","","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Seminar in Turkic Philology","950
001","","3","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"CEN ASIA
218","Dept. Total","","34","3.685","73.5","8.8","5.9","2.9","2.9","",".","2.9","2.9","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"218
CEN ASIA","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","3.500",".","100.0",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","3","3.833","66.7","33.3",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","9","3.638","66.7","11.1","11.1",".","11.1","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","11","3.542","81.8",".",".","9.1",".","",".","9.1",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","24","3.608","70.8","12.5","4.2","4.2","4.2","",".","4.2",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","3.000",".",".","100.0",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","9","4.000","88.9",".",".",".",".","",".",".","11.1","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","34","3.685","73.5","8.8","5.9","2.9","2.9","",".","2.9","2.9","",".",".","",".","",".","",".",".",".","."
