"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","","",""
"Readng & Rsch-Accountng PhD","Course Total","2","***","","","","","","","","","","","","","","","","","",""
"ACCT I S
232","Dept. Total","2101","3.180","27.4","20.3","32.3","6.4","8.8","2.8","1.1","0.8","0.0",".","",".","",".","0.0","0.1","0.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","66","2.823","22.7","7.6","30.3","6.1","22.7","9.1",".",".",".",".","",".","",".",".","1.5",".","."
"Sophomore","","378","2.931","21.4","9.5","43.7","5.3","11.9","6.1","2.1",".",".",".","",".","",".",".",".",".","."
"Junior","","623","3.112","21.3","23.8","35.2","7.2","8.3","2.4","1.8",".",".",".","",".","",".",".",".",".","."
"Senior","","673","3.224","24.2","24.5","29.7","8.2","10.1","1.9","0.3","0.7",".",".","",".","",".","0.1","0.1",".","."
"Undergraduates","","1740","3.109","22.5","20.3","34.7","7.1","10.3","3.3","1.2","0.3",".",".","",".","",".","0.1","0.1",".","."
"Special","","37","2.987","24.3","16.2","29.7","5.4","10.8","2.7","5.4","5.4",".",".","",".","",".",".",".",".","."
"Graduate","","313","3.651","54.3","20.8","19.2","2.6",".",".",".","2.6","0.3",".","",".","",".",".",".","0.3","."
"Prof Yr 1","","1","2.500",".",".",".","100.0",".",".",".",".",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","3","3.400","33.3",".","33.3",".",".",".",".","33.3",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","7","3.583","42.9","14.3","28.6",".",".",".",".","14.3",".",".","",".","",".",".",".",".","."
"Professionals","","11","3.423","36.4","9.1","27.3","9.1",".",".",".","18.2",".",".","",".","",".",".",".",".","."
"","Dept. Total","2101","3.180","27.4","20.3","32.3","6.4","8.8","2.8","1.1","0.8","0.0",".","",".","",".","0.0","0.1","0.0","."
