"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"","344
026","17","3.235","29.4","35.3","17.6","11.8",".",".","5.9",".",".",".",".",".",".",".",".","."
"","344
027","15","3.333","26.7","20.0","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","344
028","16","3.219","25.0","6.3","56.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","029
344","18","3.389","33.3","22.2","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","344
030","16","3.219","25.0","25.0","25.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".","."
"Intro Organic Chemistry Lab","Course Total","430","3.361","27.0","31.2","31.6","8.8","0.7",".","0.5",".",".",".",".",".",".","0.2",".","."
"","345
001","221","2.674","14.5","8.6","36.2","8.6","21.3","6.8","4.1",".",".",".",".",".",".",".",".","."
"","345
002","231","2.712","20.8","7.4","29.9","3.5","30.7","2.6","5.2",".",".",".",".",".",".",".",".","."
"","345
003","204","3.115","43.6","3.4","27.9",".","18.6","3.9","2.5",".",".",".",".",".",".",".",".","."
"","345
004","39","3.462","41.0","23.1","28.2","2.6","5.1",".",".",".",".",".",".",".",".",".",".","."
"Intmed Organic Chemistry","Course Total","695","2.860","26.6","7.5","31.2","4.0","22.7","4.2","3.7",".",".",".",".",".",".",".",".","."
"","346
001","6","3.786","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","346
002","16","3.500","43.8","18.8","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Organic Chem Lab","Course Total","22","3.557","50.0","22.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Inorganic Chemistry","001
511","39","3.192","33.3","10.3","35.9","7.7","10.3","2.6",".",".",".",".",".",".",".",".",".","."
"Intmed Analytical Chem","524
001","29","3.045","37.9","17.2","13.8","10.3","10.3","3.4","6.9",".",".",".",".",".",".",".",".","."
"Advanced Organic Chemistry","547
001","12","3.333","33.3","8.3","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry","561
001","44","3.244","27.3","22.7","25.0","4.5","13.6",".",".","2.3",".",".",".",".",".","4.5",".","."
"Physical Chemistry","562
001","29","3.034","34.5","10.3","27.6","10.3","10.3",".","6.9",".",".",".",".",".",".",".",".","."
"","563
001","17","3.471","41.2","23.5","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","563
002","15","3.300","40.0","20.0","20.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"","563
003","18","3.611","55.6","22.2","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","563
004","17","3.500","29.4","41.2","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","563
005","12","3.333","50.0","8.3","16.7","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"","563
006","18","3.639","50.0","33.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","563
008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","563
010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Physical Chemistry Lab","Course Total","104","3.391","42.3","25.0","18.3","7.7","5.8","1.0",".",".",".",".",".",".",".",".",".","."
"","001
564","7","3.429","42.9","28.6","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","564
002","8","3.125","25.0","50.0","12.5",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"","564
003","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry Lab","Course Total","22","3.500","54.5","27.3","9.1",".","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"Biophysical Chemistry","565
001","14","2.846","7.1","21.4","21.4","21.4","21.4",".",".",".",".",".",".",".",".","7.1",".","."
"Phys Meth-Struct Determintn","606
001","10","3.550","30.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Laboratory Safety","607
001","58","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Chemical Crystallography","613
001","15","3.533","46.7","13.3","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
630","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Analytical Chemistry","Course Total","13","3.909","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Chem Instrumentatn: NMR","636
001","23","3.565","47.8","26.1","17.4","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"Topic-Instrmtn:Mass Spectrmtry","638
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elctrn Pushg Mechs-Org Chem","647
001","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Materials Chem of Polymers","654
001","9","3.563","22.2","44.4","11.1",".",".",".",".","22.2",".",".",".",".",".",".",".","."
