"ENGR MECHANICS & ASTRONA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","7","3.286","57.1","28.6",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","201
001","110","2.486","15.5","9.1","15.5","5.5","45.5","1.8","6.4","0.9",".",".",".",".",".",".",".","."
"","002
201","76","2.743","30.3","3.9","15.8","7.9","35.5","1.3","5.3",".",".",".",".",".",".",".",".","."
"Statics","Course Total","186","2.592","21.5","7.0","15.6","6.5","41.4","1.6","5.9","0.5",".",".",".",".",".",".",".","."
"","202
001","24","2.545","8.3","4.2","16.7","20.8","41.7",".",".","8.3",".",".",".",".",".",".",".","."
"","202
002","19","3.105","21.1","21.1","26.3","21.1","10.5",".",".",".",".",".",".",".",".",".",".","."
"","003
202","15","3.133","13.3","20.0","46.7","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","202
004","7","3.357","28.6","28.6","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","005
202","9","3.278","22.2","33.3","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","74","2.986","16.2","17.6","28.4","17.6","17.6",".",".","2.7",".",".",".",".",".",".",".","."
"Statics & Mech of Materials","214
001","8","2.625","12.5","25.0","25.0",".","25.0",".","12.5",".",".",".",".",".",".",".",".","."
"","303
001","13","3.231","23.1","15.4","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","002
303","19","3.105","26.3","15.8","36.8","5.3","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"","303
003","21","2.929","19.0","23.8","19.0","19.0","9.5","9.5",".",".",".",".",".",".",".",".",".","."
"","303
004","10","2.850","20.0","10.0","30.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","63","3.032","22.2","17.5","31.7","14.3","7.9","6.3",".",".",".",".",".",".",".",".",".","."
"","304
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","304
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","4","***","","","","","","","","","","","","","","","",""
"","307
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
307","12","2.591","16.7","8.3","8.3","16.7","33.3","8.3",".",".",".",".",".",".",".",".","8.3","."
"","307
004","10","2.450",".","10.0","30.0","20.0","30.0","10.0",".",".",".",".",".",".",".",".",".","."
"","307
005","7","3.000",".","14.3","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","006
307","9","3.389","33.3","11.1","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","008
307","9","3.278","33.3",".","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","54","2.887","14.8","9.3","38.9","16.7","14.8","3.7",".",".",".",".",".",".",".",".","1.9","."
"Practicum-Finite Elements","405
001","26","3.288","38.5","19.2","11.5","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"","489
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","2","***","","","","","","","","","","","","","","","",""
"Composite Materials","508
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fracture Mechanics","519
001","10","3.150","20.0","20.0","40.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Exp Vib & Dynamic Sys Anal","540
001","9","3.000","22.2",".","44.4","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"Mechanical Vibrations","545
001","29","2.828","20.7","10.3","17.2","31.0","13.8","6.9",".",".",".",".",".",".",".",".",".","."
"Engineering Analysis II","548
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Design Project","569
001","17","3.441","35.3","29.4","29.4",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","601
001","12","3.625","25.0","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
601","9","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics: Engr Mech","Course Total","22","3.636","31.8","63.6","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Mech Testing-Materials","611
001","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Satellite Dynamics","642
001","11","2.409",".","9.1","36.4","18.2","18.2","18.2",".",".",".",".",".",".",".",".",".","."
