"GENETICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","",""
"133
Genetics and Human Affairs","001","","52","3.010","34.6","7.7","28.8","1.9","17.3","9.6",".",".",".",".",".",".",".",".",".","."
"289
Honors Independent Study","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","071","","48","3.896","79.2","20.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","088","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","094","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","58","3.849","79.3","19.0",".",".",".",".","1.7",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","29","3.690","44.8","41.4","10.3",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"466
General Genetics","001","","142","2.859","17.6","22.5","17.6","18.3","16.2","5.6","2.1",".",".",".",".",".",".",".",".","."
"561
Introductory Cytogenetics","001","","22","3.245","18.2","27.3","40.9","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"566
Advanced Genetics","001","","44","3.852","79.5","11.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"603
Eukaryotic Molecular Biol","001","","13","3.500","38.5","23.1","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"677","005","","19","3.977","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"677","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Topics in Genetics","Course Total","","20","3.978","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","14","3.974","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","001","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","002","","12","3.375","41.7","16.7","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","18","3.417","38.9","22.2","27.8","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"951
Seminar in Animal Breeding","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"957
Seminar-Plant Breeding","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 26 of 385"
