"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"","133
005","22","3.794","45.5","31.8",".",".",".",".",".","22.7",".",".",".",".",".",".",".","."
"","006
133","29","3.800","55.2","6.9","3.4",".","3.4",".",".","31.0",".",".",".",".",".",".",".","."
"","133
007","25","3.886","76.0","4.0","8.0",".",".",".",".","12.0",".",".",".",".",".",".",".","."
"","133
008","20","3.654","30.0","25.0","10.0",".",".",".",".","35.0",".",".",".",".",".",".",".","."
"Rhythmic/Step Aerobics","Course Total","169","3.701","45.0","26.0","7.1",".","0.6",".","0.6","20.7",".",".",".",".",".",".",".","."
"","134
001","18","3.792","44.4","16.7","5.6",".",".",".",".","27.8",".",".",".",".",".","5.6",".","."
"","002
134","17","3.875","52.9","17.6",".",".",".",".",".","17.6",".",".",".",".",".","11.8",".","."
"","134
003","22","3.971","72.7","4.5",".",".",".",".",".","18.2",".",".",".",".","4.5",".",".","."
"","134
004","17","3.500","29.4","5.9",".",".",".","5.9",".","58.8",".",".",".",".",".",".",".","."
"","134
005","22","3.237","9.1","31.8","36.4","9.1",".",".",".","4.5",".",".",".",".",".",".","9.1","."
"","134
006","23","3.250","8.7","13.0","39.1",".",".",".",".","39.1",".",".",".",".",".",".",".","."
"","007
134","22","3.575","40.9","31.8","9.1","9.1",".",".",".","9.1",".",".",".",".",".",".",".","."
"Relaxation Tech & Exercise","Course Total","141","3.589","36.2","17.7","14.2","2.8",".","0.7",".","24.1",".",".",".",".","0.7","2.1","1.4","."
"","138
001","16","3.818","43.8","25.0",".",".",".",".",".","31.3",".",".",".",".",".",".",".","."
"","138
002","16","3.667","25.0","25.0","6.3",".",".",".",".","43.8",".",".",".",".",".",".",".","."
"","003
138","18","3.722","22.2","27.8",".",".",".",".",".","38.9",".",".",".",".","11.1",".",".","."
"","004
138","21","3.688","14.3","23.8",".",".",".",".",".","61.9",".",".",".",".",".",".",".","."
"","005
138","19","3.750","26.3","10.5","5.3",".",".",".",".","57.9",".",".",".",".",".",".",".","."
"","138
006","16","3.750","12.5","12.5",".",".",".",".",".","75.0",".",".",".",".",".",".",".","."
"Golf I","Course Total","106","3.735","23.6","20.8","1.9",".",".",".",".","51.9",".",".",".",".","1.9",".",".","."
"","001
140","22","3.750","40.9","13.6","9.1",".",".",".",".","31.8","4.5",".",".",".",".",".",".","."
"","140
002","20","3.941","75.0","10.0",".",".",".",".",".","15.0",".",".",".",".",".",".",".","."
"","140
003","18","3.750","44.4","11.1","11.1",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Ice Skating I","Course Total","60","3.826","53.3","11.7","6.7",".",".",".",".","26.7","1.7",".",".",".",".",".",".","."
"Ice Skating II","145
001","19","3.846","52.6","10.5","5.3",".",".",".",".","31.6",".",".",".",".",".",".",".","."
"","155
001","16","2.800","6.3","25.0","37.5",".","18.8",".","6.3","6.3",".",".",".",".",".",".",".","."
"","155
002","19","3.438","10.5","52.6","21.1",".",".",".",".","10.5",".",".",".",".",".","5.3",".","."
"Badminton I","Course Total","35","3.129","8.6","40.0","28.6",".","8.6",".","2.9","8.6",".",".",".",".",".","2.9",".","."
"","157
001","15","3.429","26.7","33.3","26.7","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"","157
002","19","3.167","15.8","10.5","36.8","15.8",".",".",".","21.1",".",".",".",".",".",".",".","."
"","157
003","20","3.500","15.0","60.0","15.0",".",".",".",".","5.0",".",".",".",".",".",".",".","5.0"
"Topics in Fencing","Course Total","54","3.372","18.5","35.2","25.9","7.4",".",".",".","11.1",".",".",".",".",".",".",".","1.9"
"","162
001","20","3.900","40.0","10.0",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"","162
002","13","3.300","15.4","7.7","7.7",".","7.7",".",".","61.5",".",".",".",".",".",".",".","."
"","162
003","23","3.700","8.7","13.0",".",".",".",".",".","73.9",".",".",".",".",".","4.3",".","."
"Tennis I","Course Total","56","3.700","21.4","10.7","1.8",".","1.8",".",".","62.5",".",".",".",".",".","1.8",".","."
"","163
001","16","3.750","43.8","25.0","6.3",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","163
002","18","3.900","44.4","11.1",".",".",".",".",".","44.4",".",".",".",".",".",".",".","."
"","163
003","16","3.500","25.0","6.3","25.0",".",".",".",".","43.8",".",".",".",".",".",".",".","."
"","004
163","16","3.545","31.3","12.5","25.0",".",".",".",".","31.3",".",".",".",".",".",".",".","."
"Racquetball I","Course Total","66","3.679","36.4","13.6","13.6",".",".",".",".","36.4",".",".",".",".",".",".",".","."
"Basketball I","001
170","23","3.714","52.2","30.4","4.3","4.3",".",".",".","4.3",".",".",".",".",".","4.3",".","."
"Soccer I","173
001","27","3.789","48.1","18.5",".","3.7",".",".",".","22.2",".",".",".",".",".","7.4",".","."
"","175
001","29","3.759","69.0","10.3","10.3",".","3.4",".",".","6.9",".",".",".",".",".",".",".","."
