"STATISTICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"","201","001","","90","2.944","24.4","8.9","35.6","11.1","15.6",".","4.4",".",".",".",".",".",".",".",".","."
"","201","002","","57","2.772","15.8","22.8","17.5","12.3","19.3","12.3",".",".",".",".",".",".",".",".",".","."
"Principles of Statistics","","Course Total","","147","2.878","21.1","14.3","28.6","11.6","17.0","4.8","2.7",".",".",".",".",".",".",".",".","."
"","224","001","","63","2.563","11.1","6.3","36.5","7.9","25.4","9.5","3.2",".",".",".",".",".",".",".",".","."
"","224","002","","61","2.933","13.1","24.6","29.5","14.8","9.8","4.9","1.6",".",".",".",".",".",".","1.6",".","."
"","224","003","","65","2.754","21.5","6.2","30.8","3.1","30.8","6.2","1.5",".",".",".",".",".",".",".",".","."
"Intro Stats for Engineers","","Course Total","","189","2.747","15.3","12.2","32.3","8.5","22.2","6.9","2.1",".",".",".",".",".",".","0.5",".","."
"","301","001","","105","3.106","25.7","11.4","38.1","13.3","6.7","3.8",".","1.0",".",".",".",".",".",".",".","."
"","301","002","","92","3.478","45.7","26.1","12.0","7.6","7.6",".",".","1.1",".",".",".",".",".",".",".","."
"","301","003","","94","2.919","25.5","10.6","24.5","18.1","12.8","5.3","2.1",".",".",".",".",".",".","1.1",".","."
"","301","004","","93","2.855","29.0","5.4","24.7","15.1","16.1","6.5","3.2",".",".",".",".",".",".",".",".","."
"","301","005","","69","2.864","15.9","20.3","17.4","20.3","15.9","4.3","1.4",".",".",".",".",".","4.3",".",".","."
"","301","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Statistical Methods","","Course Total","","454","3.055","28.9","14.3","24.0","14.5","11.5","4.0","1.3","0.4",".",".",".",".","0.7","0.2",".","0.2"
"Intro-Statistical Meths II","302","001","","31","3.533","45.2","19.4","29.0",".","3.2",".",".",".",".",".",".",".",".","3.2",".","."
"Intro to Math Statistics","310","001","","17","3.235","35.3","11.8","35.3",".","17.6",".",".",".",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","311","001","","69","3.353","33.3","18.8","34.8","7.2","4.3",".",".","1.4",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","312","001","","42","3.049","26.2","14.3","23.8","9.5","23.8",".",".","2.4",".",".",".",".",".",".",".","."
"Intro Applied Stats for Engrs","324","001","","65","3.015","33.8","4.6","32.3","7.7","15.4","3.1","3.1",".",".",".",".",".",".",".",".","."
"Applied Regression Analysis","333","001","","16","3.500","31.3","31.3","18.8","6.3",".",".",".","12.5",".",".",".",".",".",".",".","."
"Intro Applied Stats-Life Sci","371","001","","71","3.120","22.5","28.2","22.5","9.9","14.1","2.8",".",".",".",".",".",".",".",".",".","."
"Appl Categorical Data Anal","421","001","","25","3.542","44.0","36.0","4.0","4.0","8.0",".",".","4.0",".",".",".",".",".",".",".","."
"Stat Expermntl Design-Engrs","424","001","","35","3.514","31.4","42.9","22.9","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Reliability","426","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","431","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","431","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","431","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Theory of Probability","","Course Total","","6","3.083","33.3","33.3",".","16.7",".","16.7",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Clinical Trials","542","001","","30","3.808","60.0","20.0","6.7",".",".",".",".",".",".",".",".",".","13.3",".",".","."
"Stat Meth for Bioscience II","572","001","","57","3.482","33.3","36.8","24.6","3.5","1.8",".",".",".",".",".",".",".",".",".",".","."
"Intro-Statistical Inference","610","001","","13","3.667","61.5","15.4",".","15.4",".",".",".","7.7",".",".",".",".",".",".",".","."
"Sample Survey Theory&Method","611","001","","9","3.667","33.3","22.2","11.1",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Statistcl Mthds-Epidemiolgy","642","001","","7","3.571","57.1","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Statistics","692","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","698","118","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","165","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
