"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","","",""
"ACCOUNTING AND INFO SYSTE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","",""
"Taxatn:Bus & Persnl Planng","329
001","","18","2.882","5.6","16.7","44.4","16.7","5.6","5.6",".","5.6",".",".",".",".",".",".",".","."
"","340
001","","33","3.273","6.1","57.6","27.3","3.0","6.1",".",".",".",".",".",".",".",".",".",".","."
"","002
340","","35","3.443","14.3","62.9","20.0","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Accounting Systems","Course Total","","68","3.360","10.3","60.3","23.5","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"","399
136","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
202","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Accounting","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","406
001","","13","3.346","23.1","23.1","53.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","406
002","","29","3.414","20.7","41.4","37.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Accounting","Course Total","","42","3.393","21.4","35.7","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Agri Bus & Tax Planning","536
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Acct Internshp & Prac Rsch","600
001","","74","3.642","44.6","39.2","16.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pro Prac Iss-Acct & Auditng","601
001","","74","3.635","41.9","43.2","14.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analysis-Financial Reports","603
001","","54","3.677","48.1","25.9","13.0","1.9",".",".",".","11.1",".",".",".",".",".",".",".","."
"","620
001","","28","3.268","21.4","28.6","35.7","10.7","3.6",".",".",".",".",".",".",".",".",".",".","."
"","620
002","","32","3.188","15.6","40.6","18.8","15.6","9.4",".",".",".",".",".",".",".",".",".",".","."
"Income Tax Accounting I","Course Total","","60","3.225","18.3","35.0","26.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"Income Tax Accounting II","621
001","","6","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Auditing","630
001","","36","3.056","16.7","19.4","33.3","19.4","11.1",".",".",".",".",".",".",".",".",".",".","."
"","631
001","","21","3.550","42.9","23.8","23.8","4.8",".",".",".","4.8",".",".",".",".",".",".",".","."
"","631
002","","28","3.321","25.0","28.6","32.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Computerized Info Systems","Course Total","","49","3.417","32.7","26.5","28.6","10.2",".",".",".","2.0",".",".",".",".",".",".",".","."
"Financial Accounting","700
001","","28","3.375","28.6","17.9","53.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting I","001
701","","11","3.400","27.3","18.2","45.5",".",".",".",".",".",".",".",".",".",".",".","9.1","."
"","706
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","706
002","","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Financial Reporting","Course Total","","15","3.733","60.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
710","","36","3.667","63.9","8.3","25.0","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"","002
710","","28","3.732","64.3","17.9","17.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Accounting","Course Total","","64","3.695","64.1","12.5","21.9","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"Federal Estate&Gift Taxatn","723
001","","13","3.462","30.8","38.5","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Income Taxatn&Bus Decisions","729
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","771
001","","32","3.891","78.1","21.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
771","","30","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Mgmnt Cntrl & Cost Acct","Course Total","","62","3.903","80.6","19.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Current Taxation Topics","772
001","","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading&Research-Accounting","799
089","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Accounting Research","971
001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
085","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Accounting","Course Total","","5","***","","","","","","","","","","","","","","","",""
"","999
075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 52 of 385"
