"GEOLOGY & GEOPHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","","",""
"724
Groundwater Flow Modeling","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"727
Advanced Hydrogeology","001","","14","3.654","42.9","35.7","14.3",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"737
Conducted Field Trip","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"755
Advanced Structural Geology","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"765
Crystal Chemistry","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"771
Igneous Petrology","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","001","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"875","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Topics in Geology","Course Total","","21","4.000","52.4",".",".",".",".",".",".","47.6",".",".",".",".",".",".",".","."
"920
Glacial & Pleistocene Geol","001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"940
Seminar in Paleontology","001","","10","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"970
Seminar-Geochemistry","001","","11","3.682","36.4","63.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","7","",".",".",".",".",".",".",".","57.1",".",".",".","42.9",".",".",".","."
"990","019","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","9","",".",".",".",".",".",".",".","11.1",".",".",".","88.9",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","6","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
"990","027","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","62","",".",".",".",".",".",".",".","59.7",".",".",".","40.3",".",".",".","."
"991
Seminar: Geophysics","001","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Independent Reading","Course Total","","4","***","","","","","","","","","","","","","","","",""
