"","ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","",""
"Emplymnt/El&Sec Schl Pupils","313","001","","27","3.889","85.2","7.4","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","502","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","502","002","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","502","003","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Ed Admin","","Course Total","","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org&Adm-School Hlth Progms","541","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Elem & Sec Educ Admin","702","001","","21","4.000","95.2",".",".",".",".",".",".",".",".",".",".",".",".","4.8",".","."
"","735","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","735","002","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","735","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","735","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Serv&Divrsty-El/Scndry","","Course Total","","20","3.974","90.0","5.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Admin Stdt Serv-Higher Educ","736","001","","14","3.292","14.3","28.6","35.7","7.1",".",".",".",".",".",".",".",".","7.1",".","7.1","."
"Facilitating Adult Learning","742","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Issues in Educ Policy Analysis","765","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Sch-Com Rel:Commun,Mrkt,Pol","770","001","","31","3.984","96.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prblms-Coll&Universty Admin","815","001","","7","4.000","57.1",".",".",".",".",".",".",".",".",".",".",".","42.9",".",".","."
"","820","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","820","002","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bus Adm of School Systems","","Course Total","","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Rsch Dsgn&Meth-Ed Admin","824","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Rsch Methods-Ed Admin","825","001","","21","3.917","76.2","4.8","4.8",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Leadershp-Inclusive Schling","835","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Aspcts-El & Scndry Ed","840","001","","20","3.850","80.0","15.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Leg Aspct-Spec Ed&Pupl Serv","842","001","","13","3.846","84.6",".","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"The School Superintendency","846","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pro Devel&Orgniztn Learning","848","001","","22","3.841","77.3","18.2",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Org Theory&Behavior in Educ","860","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory&Practice-Ed Planning","875","001","","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acadmc Prgrms-Col&Universty","880","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Dissertation Rsch","925","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","940","002","","20","3.579","85.0",".",".",".",".",".","10.0",".",".",".",".",".","5.0",".",".","."
"","940","003","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940","004","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr in Educational Admin","","Course Total","","47","3.804","89.4","4.3",".",".",".",".","4.3",".",".",".",".",".","2.1",".",".","."
"","990","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","012","","8","",".",".",".",".",".",".",".","75.0","12.5",".",".","12.5",".",".",".","."
"","990","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","020","","7","",".",".",".",".",".",".",".","42.9",".",".",".","57.1",".",".",".","."
"","990","027","","13","",".",".",".",".",".",".",".","46.2",".",".",".","53.8",".",".",".","."
"","990","032","","8","",".",".",".",".",".",".",".","87.5",".",".",".",".","12.5",".",".","."
"","990","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","","Page 91 of 385"
