"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
001","95","3.436","40.0","31.6","15.8","6.3","3.2",".","2.1","1.1",".",".",".",".",".",".",".","."
"","101
002","83","2.711","8.4","19.3","22.9","14.5","30.1","4.8",".",".",".",".",".",".",".",".",".","."
"","003
101","88","2.959","19.3","20.5","29.5","14.8","3.4","8.0","2.3",".",".",".",".",".",".","2.3",".","."
"","004
101","96","2.915","28.1","12.5","15.6","18.8","13.5","8.3","1.0","2.1",".",".",".",".",".",".",".","."
"","005
101","77","3.211","18.2","29.9","33.8","9.1","7.8",".",".","1.3",".",".",".",".",".",".",".","."
"","101
006","67","2.977","13.4","16.4","37.3","20.9","7.5","3.0",".",".",".",".",".",".",".","1.5",".","."
"Introduction to Philosophy","Course Total","506","3.040","22.1","21.7","24.9","13.8","10.9","4.2","1.0","0.8",".",".",".",".",".","0.6",".","."
"Intro to Social Philosophy","001
102","64","3.016","17.2","17.2","35.9","14.1","14.1","1.6",".",".",".",".",".",".",".",".",".","."
"","210
001","80","3.121","21.3","16.3","41.3","12.5","3.8",".","2.5","2.5",".",".",".",".",".",".",".","."
"","210
002","83","3.049","20.5","15.7","26.5","25.3","10.8",".",".",".",".",".",".",".","1.2",".",".","."
"Reason in Communication","Course Total","163","3.084","20.9","16.0","33.7","19.0","7.4",".","1.2","1.2",".",".",".",".","0.6",".",".","."
"","001
211","64","3.206","32.8","31.3","14.1","9.4","1.6","6.3","3.1","1.6",".",".",".",".",".",".",".","."
"","211
002","74","2.970","27.0","17.6","16.2","6.8","14.9","4.1","4.1","9.5",".",".",".",".",".",".",".","."
"","003
211","66","2.397","22.7","9.1","10.6","9.1","15.2","21.2","7.6","3.0",".",".",".",".",".","1.5",".","."
"","004
211","14","3.143","42.9","28.6","7.1",".","7.1","7.1","7.1",".",".",".",".",".",".",".",".","."
"Elementary Logic","Course Total","218","2.879","28.4","19.7","13.3","7.8","10.6","10.1","5.0","4.6",".",".",".",".",".","0.5",".","."
"Philosophy and the Sciences","220
001","47","3.122","29.8","14.9","27.7","4.3","17.0",".","2.1","4.3",".",".",".",".",".",".",".","."
"","241
001","68","3.373","20.6","42.6","27.9","4.4","2.9",".",".","1.5",".",".",".",".",".",".",".","."
"","241
002","74","2.890","6.8","20.3","35.1","23.0","12.2",".","1.4","1.4",".",".",".",".",".",".",".","."
"Introductory Ethics","Course Total","142","3.121","13.4","31.0","31.7","14.1","7.7",".","0.7","1.4",".",".",".",".",".",".",".","."
"","001
341","157","3.268","17.2","31.2","39.5","5.7","3.8",".",".","2.5",".",".",".",".",".",".",".","."
"","341
091","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
092","17","3.824","64.7","35.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","093
341","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","094
341","23","3.750","52.2","39.1","4.3",".",".",".",".",".",".",".",".",".",".","4.3",".","."
"","341
095","16","3.531","37.5","37.5","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","096
341","18","3.861","83.3","5.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","265","3.487","37.4","29.1","25.7","3.8","2.3",".",".","1.5",".",".",".",".",".","0.4",".","."
"Hist of Ancient Philosophy","430
001","52","3.333","25.0","28.8","30.8","13.5",".",".",".",".",".",".",".",".",".","1.9",".","."
"History-Modern Philosophy","432
001","51","3.170","25.5","33.3","15.7","11.8","3.9","7.8",".",".",".",".",".",".",".",".","2.0","."
"Environmental Ethics","441
001","109","3.282","35.8","20.2","22.0","10.1","10.1",".","0.9","0.9",".",".",".",".",".",".",".","."
"Philosophy of Religion","501
001","51","3.533","37.3","29.4","15.7","2.0","3.9",".",".","7.8",".",".",".",".","2.0",".","2.0","."
"Methods of Logic","512
001","14","3.731","64.3","14.3","7.1","7.1",".",".",".","7.1",".",".",".",".",".",".",".","."
"Philos of Natural Sciences","520
001","15","3.154","26.7","33.3","6.7","6.7","6.7",".","6.7",".",".",".",".",".",".","13.3",".","."
"Philos Prblms-Biol Sciences","523
001","18","3.100","11.1","16.7","33.3","22.2",".",".",".","16.7",".",".",".",".",".",".",".","."
"Philosophy and Economics","524
001","15","2.500","26.7",".","6.7","20.0","20.0",".","13.3","6.7",".",".",".",".","6.7",".",".","."
"Freedom Fate and Choice","530
001","36","3.219","30.6","16.7","25.0","5.6","8.3",".","2.8","11.1",".",".",".",".",".",".",".","."
"Great Moral Philosophers","549
001","26","3.188","30.8","11.5","19.2","23.1","7.7",".",".","7.7",".",".",".",".",".",".",".","."
"Ethical Probs-Biomed Tech","558
001","47","2.756","10.6","14.9","29.8","17.0","10.6","4.3","4.3","8.5",".",".",".",".",".",".",".","."
"Mathematical Logic","571
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Seminar","581
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
067","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 267 of 385",""
