"BIOLOGICAL SYSTEMS ENGINE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Educ Program","1","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Livestock Housing&Waste Mgt","210","001","","8","3.250","12.5","75.0",".",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"Irrigation Sys-Design & Use","216","001","","10","2.900","30.0","20.0","20.0",".","10.0","20.0",".",".",".",".",".",".",".",".",".","."
"Drainage Systems","218","001","","9","3.056","33.3",".","33.3","11.1","22.2",".",".",".",".",".",".",".",".",".",".","."
"Spark Ignitn&Diesel Engines","243","001","","13","3.083","7.7","38.5","15.4","23.1","7.7",".",".",".",".",".",".",".",".",".","7.7","."
"Tractors","245","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Wood as a Building Material","313","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Struct Design-Ag Facilities","351","001","","12","3.458","50.0","8.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Measrmt&Instrumntn-Biol Sys","365","001","","16","2.188","6.3","12.5","12.5","12.5","31.3","18.8","6.3",".",".",".",".",".",".",".",".","."
"Special Topics","375","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","06","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Sedmnt & Bio-Nutr Engr&Mgmt","472","001","","10","2.900","20.0","30.0","20.0","10.0",".","20.0",".",".",".",".",".",".",".",".",".","."
"Biol & Ag Engr Design Lab","502","001","","14","3.607","42.9","42.9","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Food Engineering Operations","542","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Watershed Engineering","571","001","","11","3.273","27.3","36.4","9.1","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"Topics-Natural Resrces Engr","671","001","","8","3.647","50.0","25.0","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Special Topics","875","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","018","","6","",".",".",".",".",".",".",".","16.7",".",".",".","83.3",".",".",".","."
"","990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","14","",".",".",".",".",".",".",".","35.7",".",".",".","64.3",".",".",".","."
