"L&S","","","","","","","","","","","","","","","","","","","","",""
"CHICANA/O & LATINA/O STUDIE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"228
CHICLA","","","","","","","","","","","","","","","","","","","","",""
"Intro to Chicana/o Studies","201","001","","25","3.208","44.0","16.0","8.0","8.0","16.0",".","4.0","4.0",".",".",".",".",".",".",".","."
"Intro-Chicano & Chicana Lit","234","001","","29","3.293","41.4","24.1","20.7",".","6.9","3.4","3.4",".",".",".",".",".",".",".",".","."
"Topics in Chicano/a Studies","330","001","","40","3.238","37.5","32.5","20.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"Chicana Feminisms","425","001","","13","3.385","38.5","38.5","7.7","7.7",".","7.7",".",".",".",".",".",".",".",".",".","."
"","699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
