"DANCE PROGRAM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","",""
"","1
002","","19","3.750","68.4","21.1","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","1
003","","22","3.635","45.5","36.4","13.6",".",".",".",".",".",".",".",".",".",".","4.5",".","."
"Workshop in Dance Activity","Course Total","","41","3.685","56.1","29.3","9.8","2.4",".",".",".",".",".",".",".",".",".","2.4",".","."
"","001
11","","18","3.912","88.9",".",".","5.6",".",".",".","5.6",".",".",".",".",".",".",".","."
"","002
11","","27","3.907","88.9","3.7","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Dance I","Course Total","","45","3.909","88.9","2.2","4.4","2.2",".",".",".","2.2",".",".",".",".",".",".",".","."
"Modern Dance Technique II","112
001","","14","3.727","50.0","14.3","14.3",".",".",".",".","21.4",".",".",".",".",".",".",".","."
"Modern Dance II","12
001","","18","3.861","88.9","5.6",".",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Asian American Movement","153
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory-Movement for Dancers","161
001","","19","3.684","42.1","52.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance","205
001","","19","3.905","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","21
001","","23","3.735","34.8","39.1",".",".",".",".",".","21.7",".",".",".",".",".",".","4.3","."
"","21
002","","27","3.660","40.7","44.4","3.7","3.7",".",".",".","7.4",".",".",".",".",".",".",".","."
"Ballet I","Course Total","","50","3.690","38.0","42.0","2.0","2.0",".",".",".","14.0",".",".",".",".",".",".","2.0","."
"Modern Dance Technique IV","212
001","","13","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet II","22
001","","19","3.833","57.9","15.8","5.3",".",".",".",".","21.1",".",".",".",".",".",".",".","."
"Ballet Technique II","225
001","","18","3.529","83.3",".",".",".",".",".","11.1","5.6",".",".",".",".",".",".",".","."
"Music Fundamentals-Dancers","241
001","","13","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","255
001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","255
002","","7","3.286","57.1","28.6",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Move Comp-Perform/Visul Art","Course Total","","14","3.571","64.3","28.6",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","31
001","","34","3.500","29.4","20.6","29.4",".",".",".",".","20.6",".",".",".",".",".",".",".","."
"","31
002","","24","3.591","50.0","12.5","25.0","4.2",".",".",".","8.3",".",".",".",".",".",".",".","."
"Modern Jazz Dance","Course Total","","58","3.541","37.9","17.2","27.6","1.7",".",".",".","15.5",".",".",".",".",".",".",".","."
"Modern Dance Technique VI","312
001","","14","3.571","35.7","42.9","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
001","","19","4.000","84.2",".",".",".",".",".",".","15.8",".",".",".",".",".",".",".","."
"","325
002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique III","Course Total","","29","4.000","89.7",".",".",".",".",".",".","10.3",".",".",".",".",".",".",".","."
"Intro to Asian Performance","326
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Teaching of Dance to Adults","372
001","","7","3.714","85.7",".",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","399
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
055","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Project","Course Total","","14","3.914","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","41
001","","41","3.882","31.7","9.8",".",".",".",".",".","58.5",".",".",".",".",".",".",".","."
"","41
002","","42","3.750","38.1","31.0","2.4",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"","41
003","","30","3.904","76.7","6.7",".","3.3",".",".",".","13.3",".",".",".",".",".",".",".","."
"","41
004","","33","3.852","69.7","6.1","3.0",".","3.0",".",".","18.2",".",".",".",".",".",".",".","."
"","41
005","","45","3.797","44.4","24.4","2.2",".",".",".",".","24.4",".",".",".",".",".",".","4.4","."
"","006
41","","49","3.829","46.9","24.5",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"","007
41","","41","3.900","68.3","17.1",".",".",".",".",".","14.6",".",".",".",".",".",".",".","."
"","41
008","","46","3.667","34.8","43.5","6.5",".",".",".",".","15.2",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 101 of 385",""
